"来源层","查询ID","类别","requestId","结果数","唯一域名数","头部来源域名","查询语句"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","12","12","conversationexchange.com (1) | conversifi.com (1) | fluentpal.net (1) | langroops.com (1) | lingopraxis.com (1)","companies and apps similar to HelloTalk and Tandem for language exchange social networking native speaker chat voice rooms pen pals"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","12","10","hellotalk.com (2) | play.google.com (2) | 10100.com (1) | eol.cn (1) | hilokal.com (1)","HelloTalk Tandem Lingbe Speaky Slowly SewaYou Hilokal language exchange app users growth social features voice rooms 2024 2025 2026"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","12","12","conversationexchange.com (1) | fluentpal.net (1) | hellotalk.com (1) | hilokal.com (1) | lang-pal.com (1)","new language exchange social apps 2024 2025 2026 similar to HelloTalk Tandem SewaYou Hilokal Slowly Linguado LangPal MatchaLingua native speaker matching nearby cultural exchange"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","12","9","techcrunch.com (4) | einpresswire.com (1) | gamesbeat.com (1) | geekwire.com (1) | globenewswire.com (1)","AI social app AI companion consumer social entertainment startup funding 2024 2025 2026 Butterflies Daze Dippy Tolan Pengu Status AI"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","12","12","axios.com (1) | businesswire.com (1) | markets.businessinsider.com (1) | mexc.com (1) | news.qq.com (1)","AI companion roleplay app funding 2024 2025 2026 Replika Character.AI Nomi Kindroid PolyBuzz Chai Talkie MiniMax Linky HiWaifu Oh Dippy"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","12","12","blush.ai (1) | buddy.ai (1) | chai.ai (1) | character.ai (1) | chatfai.com (1)","AI companion apps Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI company product users revenue"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","12","12","ainews.com (1) | axios.com (1) | baijing.cn (1) | digitaltoday.co.kr (1) | esafety.gov.au (1)","Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI funding revenue growth safety news 2024 2025 2026"
"main research","china_ai_companion_exports","news","53dda45cdd73a065016c631fcb153c2e","12","11","news.qq.com (2) | aipressa.com (1) | baijing.cn (1) | bbtnews.com.cn (1) | chinatalk.media (1)","Chinese AI companion app overseas Talkie MiniMax PolyBuzz Linky HiWaifu Oh AI roleplay app downloads revenue funding 2024 2025 2026"
"main research","ai_social_entertainment_news","news","7252385281531a4b5c2a2f5e319839d9","12","12","apps.apple.com (1) | bbc.com (1) | einpresswire.com (1) | finalboss.io (1) | gamespress.com (1)","AI social network interactive entertainment app funding 2024 2025 2026 Butterflies Status AI Series Oasiz Daze social media RPG fanfiction"
"main research","offline_ai_social_news","news","dbdf256e021bb834c5c89038e10f104d","12","11","techcrunch.com (2) | africa.businessinsider.com (1) | dnyuz.com (1) | fastcompany.com (1) | foxbusiness.com (1)","AI powered offline social app funding IRL friends dinner strangers meetups 222 Pie Timeleft 2024 2025 2026"
"main research","offline_social_discovery_companies","company","d5cf91db0ea73154d90b0404855ca6a5","12","12","greatnight.us (1) | homiiworld.com (1) | kaiwa.club (1) | magictable.in (1) | partiful.com (1)","offline social discovery apps meet new friends IRL dinner strangers events algorithm matching 222 Pie Timeleft Saturday Plots Partiful"
"main research","offline_events_boundary_news","news","a29756f62c576329edd21ac662ed3d46","12","12","africa.businessinsider.com (1) | futureparty.com (1) | inc.com (1) | nbcchicago.com (1) | nbcconnecticut.com (1)","IRL social events app funding 2024 2025 2026 Partiful Plots Saturday 222 Pie Timeleft friends events meetup social discovery"
"main research","ai_dating_irl_news","news","fc272be91f4f289476ae892b3acf4aa6","12","10","globaldatinginsights.com (2) | techcrunch.com (2) | axios.com (1) | businesswire.com (1) | independent.co.uk (1)","AI dating app offline dates anti swiping IRL meetups funding launch 2024 2025 2026 Breeze Hinge Tinder Bumble Thursday dating app"
"main research","group_travel_irl_news","news","afd56450856c84ab7a12eaa129fba5ad","12","12","eu-startups.com (1) | finance.yahoo.com (1) | finsmes.com (1) | newmarketpitch.com (1) | rentalscaleup.com (1)","group travel social app funding 2024 2025 2026 WeRoad Airbnb millennials Gen Z strangers travel friends community"
"main research","local_activity_social_companies","company","65e6754af504e7a3557b938b9557e46a","12","12","after-5.co (1) | aglow.life (1) | encoredays.com (1) | getsaturday.com (1) | havemoments.com (1)","local activity social apps meet new friends over 40 Gen X group activities IRL social app Meet5 Aglow Luma Posh Plots Saturday"
"main research","offline_social_company_boundary","company","4d9562fa0fda7cbe272a8acab4447f39","12","12","approachable.ai (1) | aroundme.co (1) | getpie.app (1) | getsaturday.com (1) | meetwitheve.com (1)","companies offline social app events meetups friends Partiful Plots Saturday Posh Luma Timeleft 222 Pie AI matching"
"main research","ai_companion_research","research paper","bf9fe3350a9abb43c55f46e0d7d66e30","12","5","arxiv.org (7) | sciencedirect.com (2) | dl.acm.org (1) | frontiersin.org (1) | link.springer.com (1)","AI companion social relationships loneliness teens Replika Character.AI Nomi research paper 2024 2025 2026"
"main research","offline_loneliness_research","research paper","fef2afb3ed0adbe889f3ab34893c97db","12","5","pmc.ncbi.nlm.nih.gov (4) | link.springer.com (3) | mdpi.com (2) | sciencedirect.com (2) | frontiersin.org (1)","offline social connection loneliness social apps algorithmic matching in-person meetups research 2024 2025 2026"
"main research","consumer_ai_financial_reports","financial report","8d8bcb6a23c356f5dc18d8e4a18bc0bc","12","1","sec.gov (12)","AI companion apps revenue report 2025 Character.AI Replika PolyBuzz Chai Talkie Pengu consumer AI app market"
"main research","app_market_reports","financial report","e61345ed3fbeb1a203e5edb4b8e5f709","12","1","sec.gov (12)","consumer AI app market report AI companion app revenue downloads 2024 2025 Sensor Tower Appfigures data.ai financial report"
"main research","consumer_ai_app_rankings","financial report","1ee9225a655213e7827595f3fae0263b","12","1","sec.gov (12)","top consumer generative AI apps rankings AI companion mobile app downloads revenue report 2025 2026 Andreessen Sensor Tower Appfigures"
"main research","ai_social_revenue_download_reports","financial report","ee4997d3b71f82f7180bc682f07d74be","12","1","sec.gov (12)","AI social app AI companion app revenue downloads report 2026 China overseas Talkie PolyBuzz HiWaifu Linky Character.AI Replika Sensor Tower Appfigures"
"main research","founder_people_background","people","f8bdae974820edb89dbc865ad751d005","12","1","linkedin.com (12)","founders of AI social apps 222 Pie Butterflies Daze Status AI Tolan Born Pengu background investors"
"main research","offline_social_founders_people","people","ddd789714b05fbbd15e549062d7b04e7","12","1","linkedin.com (12)","founders 222 Pie Timeleft offline social app AI matching friends dinner strangers founder background investors"
"official/social pass","language_social_profiles","official/social profile","d3d89157208c1cc45c9c803b67986200","15","5","play.google.com (8) | apps.apple.com (3) | hellotalk.com (2) | hilokal.com (1) | linkedin.com (1)","official website LinkedIn Instagram App Store Google Play HelloTalk Tandem Hilokal SewaYou language exchange app"
"official/social pass","language_social_profiles_more","official/social profile","e66c37d8f9165abe794de6cc87769a0e","15","3","apps.apple.com (7) | play.google.com (7) | conversationexchange.com (1)","official website LinkedIn Instagram App Store Google Play Slowly Linguado LangPal MatchaLingua Conversation Exchange language exchange app"
"official/social pass","ai_companion_social_profiles","official/social profile","99811b7cb6d0ceb3591908ec63fbf518","15","3","play.google.com (10) | apps.apple.com (4) | replika.com (1)","official website LinkedIn Instagram TikTok X Discord App Store Google Play Character.AI Replika Chai Talkie Tolan Dippy PolyBuzz HiWaifu AI companion app"
"official/social pass","irl_social_profiles","official/social profile","73cc10dbabde458bd4eec419d83b094e","15","6","apps.apple.com (9) | play.google.com (2) | linkedin.com (1) | mwm.ai (1) | reelink.app (1)","official website LinkedIn Instagram TikTok X App Store 222 Pie Timeleft Partiful Breeze WeRoad MeetMux Aglow Life Paxmeet Thursday IRL social app"
"official/social pass","ai_social_official_gap_profiles","official/social profile","b7a622d15ec62a4d6c57730a5e84bad8","15","4","apps.apple.com (10) | play.google.com (3) | app-download.com (1) | born.com (1)","official website App Store Google Play LinkedIn Instagram Discord Status AI Butterflies AI Daze Shapes Born Pengu AI social app"
"official/social pass","irl_official_gap_profiles","official/social profile","1df2cef45f30f8c3b56bf5ef6b967d03","15","4","play.google.com (8) | apps.apple.com (5) | independent.co.uk (1) | meet5.com (1)","official website App Store Google Play LinkedIn Instagram Meet5 Thursday Breeze Aglow Life Partiful WeRoad IRL dating social app"
"official/social pass","language_long_tail_official_gap_profiles","official/social profile","12a80fd74aff3c63dd46750abf7e2e51","15","4","play.google.com (12) | apps.apple.com (1) | conversationexchange.com (1) | mylanguageexchange.com (1)","official website App Store Google Play LinkedIn Conversation Exchange Talk4Now meeTalk LangPal MatchaLingua FluentPal Lingbe SpeakyParrot Fluently language exchange app"
"official/social pass","language_social_handles","official/social profile","0f69d21093adfa3acd1154a39b64978b","15","6","play.google.com (5) | apps.apple.com (2) | hellotalk.com (2) | hilokal.com (1) | sewayou.com (1)","official Instagram TikTok X Twitter Facebook YouTube HelloTalk Tandem Hilokal SewaYou Slowly Linguado language exchange app social media"
"official/social pass","ai_social_handles","official/social profile","0d7b05bc3eead532c8d637f67118bd0e","15","5","instagram.com (5) | tiktok.com (5) | play.google.com (3) | ai.meta.com (1) | apps.apple.com (1)","official Instagram TikTok X Twitter Discord YouTube Character.AI Replika Chai Talkie Dippy PolyBuzz Status AI Butterflies AI Daze social media"
