"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","known","Eat No Solo: Eating alone is becoming the norm: One app wants to fix that - RTL Today","2026-06-04T10:25:00.000Z","https://today.rtl.lu/lifestyle/food/articles/eating-alone-is-becoming-the-norm-one-app-wants-to-fix-that-1980529060","Luxembourg startup Eat No Solo aims to tackle loneliness by connecting strangers for spontaneous meals and drinks. [...] People have never been more digitally connected yet more people are eating alone than ever before. One startup founder in Luxembourg believes the answer is not another social network, but dinner with a stranger. [...] Eat No Solo, a new app recently launched in Luxembourg and parts of Germany, aims"
"线下真人社交","critical","known","Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28T10:10:47.000Z","https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/","Breeze Launches IRL Group Dates Across London - Global Dating Insights 28th May 2026 Staff Writer Breeze has launched real-life group date events across London, marking the first time since the platform has moved beyond the conventional one-on-one dating format in any official capacity. The current structure allows for up to eight singles at a venue, with no pre-emptive chats or meetings required – attendees simply s"
"中国 AI 社交出海","high","new","Super US-Listed IPO: Reshaping Valuation Anchors of MiniMax and Zhipu AI","2026-06-09T15:22:23.000Z","https://eu.36kr.com/en/p/3845847971858696","In terms of revenue structure, MiniMax is more inclined towards consumer-grade AI native products. In 2025, the revenue from the company's AI native products was $53.08 million, accounting for 67.2% of the total revenue; the revenue from the open platform and enterprise services was $25.96 million, accounting for 32.8%. The former includes AI companionship, video, voice, music, and other products for C-end users, whi"
"融资 / 商业化","high","new","Neura Closes Strategic Funding Round and Partnerships to Build Emotional AI with Persistent, User-Owned Memory - Decrypt","2026-06-09T13:01:15.000Z","https://decrypt.co/370507/neura-closes-strategic-funding-round-and-partnerships-to-build-emotional-ai-with-persistent-user-owned-memory?amp=1","Closes Strategic Funding Round and Partnerships [...] Closes Strategic Funding Round and Partnerships to Build Emotional [...] User-Owned [...] Joined by partners and investors including Animoca Brands, Basics Capital, TBV, Kinetic Kollective, Mario Nawfal, and Grammy-winning artist Ne-Yo, Neura is building the missing layer of AI: empathy and memory. [...] Neura, the protocol building the world’s first Emotional AI "
"融资 / 商业化","high","new","Sekai Raises $26M as Platform Reaches 15 Million User-Created Apps | Gate News","2026-06-07T01:20:54.000Z","https://www.gate.com/news/detail/sekai-raises-26m-as-platform-reaches-15-million-user-created-apps-21580797","Sekai, the consumer platform enabling software creation through natural language prompts, announced $26 million in combined Seed and Series A funding. The $20 million Series A round was co-led by Keith Rabois at Khosla Ventures and Nicole Quinn at Connect Ventures, with participation from 359 Capital, Parable VC, and 645 Ventures, while the seed round was led by Navin Chaddha at Mayfield. The funding will scale Sekai"
"研究 / 政策风险","high","new","Substance-induced manic psychosis in which delusions were corroborated by a chatbot - case report | BMC Psychiatry | Springer Nature Link","2026-06-04T17:06:07.000Z","https://link.springer.com/article/10.1186/s12888-026-08137-3","A man in his 30s presented to the emergency department with a one-week history of escalating behavioural disturbance, severe insomnia, pressured and overinclusive speech, and grandiose beliefs. Symptom onset followed heavy polysubstance use at a recreational event, including psilocybin (dried mushrooms and liquid preparation), ketamine, cocaine, and alcohol. During this period, the patient reported extensive interact"
"融资 / 商业化","high","known","Town Raises $55M to Expand Personalized AI Assistant  - Ventureburn","2026-06-04T00:00:00.000Z","https://ventureburn.com/town-raises-55m-to-expand-personalized-ai-assistant/","Town has closed a $55 million Series B funding round led by General Catalyst to rapidly scale its personalised AI assistant ecosystem. [...] Town has closed a $55 million Series B funding round to accelerate the deployment of its highly personalised, context-aware artificial intelligence companion. It is a turning point for the company as it moves from a one-in-a-million viral, invite-only productivity app into the l"
"融资 / 商业化","high","known","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03T11:49:43.000Z","https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune [...] # Town’s AI assistants learn your life—Andreessen Horowitz and Forerunner just backed the vision with $55 million [...] June 3, 2026, 7:49 AM ET [...] Town builds AI assistants with distinct avatars and personalities meant to give users their time back.Courtesy of Town [...] Jean-Denis Gréze’s AI assista"
"融资 / 商业化","high","known","AI Game Creation Platform Aippy Announces Tens of Millions at $250M Valuation","2026-06-03T08:45:09.000Z","https://theaiinsider.tech/2026/06/03/ai-game-creation-platform-aippy-announces-tens-of-millions-at-250m-valuation/","AI Game Creation Platform Aippy Announces Tens of Millions at $250M Valuation [...] # AI Game Creation Platform Aippy Announces Tens of Millions at $250M Valuation [...] NADA AI’s Aippy, billed as the world’s first AI-native game community, has closed its first funding round led by Hong Kong-based Glowill Capital, reaching a post-money valuation of $250 million. Proceeds will fund global talent acquisition and user g"
"融资 / 商业化","high","known","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment","2026-06-02T03:31:00.000Z","https://www.prnewswire.com/apac/news-releases/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment-302787864.html","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment Accessibility Statement Skip Navigation [...] SINGAPORE, June 2, 2026 /PRNewswire/ -- Aippy, the world's first AI-native game community developed by NADA AI, today announced that it has raised tens of millions of dollars in its first funding round led by Glowill Capital, bringing its post-mo"
"融资 / 商业化","high","known","Sekai raises $20 million as people create 15 million AI mini apps","2026-06-01T13:00:04.000Z","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding","Sekai raises $20 million as people create 15 million AI mini apps [...] # Exclusive: Sekai raises $20M for AI app creation [...] Sekai has raised a $20 million Series A to grow a platform for creating mini apps through text prompts, founder and CEO Lucky Zhang exclusively tells Axios. [...] Why it matters: The founder, who previously sold startups to Apple and TikTok parent ByteDance, is betting AI-generated software"
