"来源类别","主体","关联主表产品","赛道/参照","维度","信号","解释","证据"
"people","Arman Roshannai / 222","222","AI/算法驱动的线下真人社交","Co-Founder & CTO","Exa people 结果显示 222 有 26 人团队、+44.5% YoY，CTO 线索指向技术驱动的线下真人匹配平台。","IRL 社交产品需要匹配、活动编排和信任安全能力，技术负责人和团队扩张是执行力信号。","LinkedIn: https://linkedin.com/in/arman-roshannai"
"people","Maxime Barbier / Timeleft","Timeleft","AI/算法驱动的线下真人社交","CEO & Co-founder","Exa people 结果显示 Timeleft CEO/Co-founder 线索，并有 100+ cities partnership/GTM 相关人员。","Timeleft 的核心不是聊天，而是城市晚餐网络和餐厅合作；GTM 与本地运营团队更关键。","LinkedIn: https://linkedin.com/in/maximebarbier"
"people","Euan Cassie / Timeleft","Timeleft","AI/算法驱动的线下真人社交","Head of Partnerships","Exa people 结果提到 connecting brands with thousands IRL at social dining experiences in 100+ cities。","品牌合作和城市扩张能力可以验证 IRL 供给侧是否可规模化。","LinkedIn: https://linkedin.com/in/euancassie"
"people","Yulia D. / Timeleft","Timeleft","AI/算法驱动的线下真人社交","Growth Marketing Manager","Exa people 结果显示其有 Meta、Apple、Indeed、eBay 等增长背景。","IRL 社交扩张高度依赖城市冷启动、增长实验和留存闭环，增长履历是重要判断维度。","LinkedIn: https://linkedin.com/in/yuliadudyak"
"people","Brian Kelley / Butter AI","","团队/创始人参照","Founder / CEO","Exa people 结果显示 Butter AI 创始人具备设计与产品背景。","AI social/泛娱乐产品更依赖表达体验、互动设计和视觉/社区感。","LinkedIn: https://linkedin.com/in/brianckelley"
"people","Giorgos Andritsos / Mr. Pengu","","团队/创始人参照","Co-Founder CEO","Exa people 结果返回 Mr. Pengu 相关 CEO 线索，可作为 Pengu/virtual pet 方向的团队背景 watch item。","共同养成类 AI companion 需要内容、虚拟宠物和社交留存组合能力。","LinkedIn: https://linkedin.com/in/giorgos-andritsos-4aa654192"
"financial report","PolyBuzz / 作业帮出海","","市场/上市公司参照","约 4200 万月访问量","中文出海监测结果显示 PolyBuzz 以 4200 万级月访问量进入中国 AI 产品出海头部，说明 AI companion 可以从教育/工具团队转化为高流量消费产品。","这是流量和本地化信号，不等同于收入；需要继续监控内购、订阅和区域付费能力。","腾讯新闻: https://news.qq.com/rain/a/20260204A05BK500"
"financial report","HiWaifu","","市场/上市公司参照","全球 AI 社交 App 内购收入前七；约 2000 万元年营收","白鲸出海结果显示 14 人小团队、未融资但已有千万级年营收，是 AI companion 小团队商业化样本。","适合关注低融资/高现金流模型，以及海外垂直市场内购转化。","白鲸出海: https://www.baijing.cn/article/52888"
"financial report","Talkie / MiniMax","Talkie / MiniMax","AI 伴侣、角色经济与共同养成","2024 上半年美国 AI app 下载前列；MiniMax 海外收入占比高","SCMP 与中文财经报道显示 Talkie 属于 companion AI 快速增长段，MiniMax 全球消费者收入和海外覆盖是重要出海样本。","这是中国大模型公司用 consumer app 变现的关键路径，需和 IPO/财报口径持续交叉验证。","SCMP: https://www.scmp.com/tech/tech-trends/article/3284511/chinese-ai-unicorn-minimax-scores-big-us-talkie-chatbot-entertainment-app | 北京商报: https://www.bbtnews.com.cn/2026/0111/581338.shtml"
"financial report","Tolan / Portola","Tolan / Portola","AI 伴侣、角色经济与共同养成","3M downloads；ARR 从 USD 4M 到 USD 12M 报道口径","Exa news 结果返回 Tolan 的下载和 ARR 增长报道，同时有 10M/20M 融资新闻互相印证增长热度。","这是 AI companion 订阅商业化样本，但 ARR 来源质量需继续用官方/投资人材料复核。","The Signal: https://readthesignal.co/p/ai-companion-tolan-4m-to-12m-arr | GeekWire: https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"financial report","Match / Bumble 财报边界","","市场/上市公司参照","Bumble 2025 revenue USD 966M；Match/Hinge/Tinder 有 AI features 与增长恢复信号","Exa financial report 返回 Match/Bumble SEC 结果，说明 dating/social discovery 上市公司正在用 AI 功能改善转化和参与。","它们不是本页 AI social 核心竞品，但可作为付费社交、匹配效率、订阅模型的参照。","Bumble SEC: https://www.sec.gov/Archives/edgar/data/1830043/000183004326000018/bmbl-ex991prxq42025.htm | Match SEC: https://www.sec.gov/Archives/edgar/data/891103/000089110326000072/mtch8-k20260505ex991.htm"
"financial report","Life360 / IRL family graph","","市场/上市公司参照","约 97.8M MAU；3.0M paying circles","Exa financial report 返回 Life360 Q1 2026 结果，可作为 real-world social graph / location-based subscription 的上市参照。","不是陌生人社交，但能帮助判断 IRL 社交基础设施的付费和留存边界。","Life360 SEC: https://www.sec.gov/Archives/edgar/data/1581760/000158176026000079/a991-life360incq126media.htm"
"financial report","WEBTOON Character Chat","","市场/上市公司参照","SEC Q1 2026 shareholder letter / AI-enabled Character Chat","Exa financial report 专项返回 WEBTOON SEC 文件：公司披露 AI-enabled Character Chat，让用户与 WEBTOON 角色对话。","这是泛娱乐 IP + AI character chat 的上市公司信号，说明 AI 社交不只在独立 companion app，也会进入内容平台和 IP 社区。","WEBTOON SEC: https://www.sec.gov/Archives/edgar/data/1997859/000199785926000070/a260509_2026q1xsharehold.htm"
"financial report","AI companion apps market","","市场/上市公司参照","$120M projected 2025 consumer spend; 337 active revenue-generating AI companion apps","TechCrunch / Appfigures 报道显示 AI companion 应用 2025 年预计消费者支出约 $120M，活跃营收应用数量和新发应用数量都在上升。","这是赛道商业化口径，不是单一产品融资；用于校准 companion/roleplay 产品的市场需求和付费能力，不能重复计入融资总额。","AI companion apps on track to pull in $120M in 2025 | TechCrunch: https://techcrunch.com/2025/08/12/ai-companion-apps-on-track-to-pull-in-120m-in-2025/"
"financial report","Match Group / AI dating transition","","市场/上市公司参照","SEC 8-K / direct revenue pressure and 2026 product roadmap","Match Group 2026 8-K / shareholder materials 披露 Tinder、Hinge 等产品路线调整和收入压力，同时强调 2026 产品路线图与 AI/产品体验重构。","这是 dating 市场从 swipe/订阅模型转向 AI assistant、IRL events 和更高质量匹配的上市公司背景口径。","MTCH 8-K 2026.02.03 EX99.2: https://www.sec.gov/Archives/edgar/data/891103/000089110326000020/mtch8-k20260203ex992.htm"
