"复核层级","复核结论","优先级","查询ID","类别","缺口数","已深挖候选数","已分流信号数","剩余数","处理状态","深挖结论","信号分流结论","下一步动作","原因","深挖候选","已分流信号","示例"
"product-candidate","候选补证","high","lingopraxis_growth","company","6","6","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 6 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | Time2Talk: 候选补证 (unclassified candidate) | Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate) | LingoLooper: 候选补证 (unclassified candidate) | LingoQuesto: 候选补证 (unclassified candidate) | Plang, Inc.: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Time2Talk: https://time2talk.app/ | Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/"
"product-candidate","候选补证","high","language_exchange_companies","company","2","2","0","0","deep-dive complete","长尾留档 | 边界参照","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 边界参照。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | Conversifi: 边界参照 (language exchange / university)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Conversifi: https://conversifi.com/"
"product-candidate","候选补证","high","offline_social_discovery_companies","company","2","2","0","0","deep-dive complete","排除主表 | 信号复核","","已完成 2 个候选的 candidate deep-dive；结论为 排除主表 / 信号复核。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Plannit: 排除主表 (planning / travel adjacent) | SoMe AI: 信号复核 (AI-native social candidate)","","Plannit: https://plannit.in/ | SoMe AI: https://socialwithsome.com/"
"product-candidate","候选补证","high","conversation_exchange_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","lingbe_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","local_activity_social_companies","company","1","1","0","0","deep-dive complete","候选补证","","已完成 1 个候选的 candidate deep-dive；结论为 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Meetup.com: 候选补证 (unclassified candidate)","","Meetup.com: https://meetup.com/"
"product-candidate","候选补证","high","new_language_exchange_companies","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","offline_social_company_boundary","company","1","1","0","0","deep-dive complete","排除主表","","已完成 1 个候选的 candidate deep-dive；结论为 排除主表。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Around Me: 排除主表 (local search adjacent)","","Around Me: https://aroundme.co/"
"product-candidate","候选补证","high","slowly_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","speakyparrot_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"signal-candidate","信号复核","medium","ai_companion_social_profiles","official/social profile","5","0","0","5","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Character AI: Chat, Talk, Text - Apps on Google Play: https://play.google.com/store/apps/details?id=ai.character.app&hl=en | Character AI: Chat, Talk, Text – Apps on Google Play: https://play.google.com/store/apps/details?id=ai.character.app&hl=en_GB | Character AI: Chat, Talk, Text – Apps on Google Play: https://play.google.com/store/apps/details?hl=en_IE&id=ai.character.app"
"signal-candidate","信号复核","medium","langpal_growth","company","3","1","0","2","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","Talkpal: https://talkpal.ai/ | EZ Speak: https://ezspeak.ai/ | Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","ai_social_games_funding","news","2","0","1","1","partially signal-reviewed","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 1 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI companion)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding | Launch YC: Playabl.ai - TikTok for user-generated games. | Y Combinator: https://www.ycombinator.com/launches/QeI-playabl-ai-tiktok-for-user-generated-games"
"signal-candidate","信号复核","medium","sewayou_growth","company","2","1","0","1","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","Plang, Inc.: https://plang.ai/ | needyou AI: https://needyou.app/"
"signal-candidate","信号复核","medium","ai_companion_funding_expansion","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI companion)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"signal-candidate","信号复核","medium","ai_companion_roleplay_funding_news","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune: https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/"
"signal-candidate","信号复核","medium","ai_friend_wearables","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Hands-on with Bee, Amazon's latest AI wearable | TechCrunch: https://techcrunch.com/2026/01/12/hands-on-with-bee-amazons-latest-ai-wearable/"
