"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"融资 / 商业化","high","known","Turnout Announces $35M Series A to Put an AI Advocate in Every American’s Corner","2026-06-19T15:34:20.000Z","https://theaiinsider.tech/2026/06/19/turnout-announces-35m-series-a-to-put-an-ai-advocate-in-every-americans-corner/","- Turnout, an AI-powered consumer advocacy service, has raised $35 million in Series A funding led by HighPost Capital, with participation from Shine Capital, LGVP, Mangusta Capital, Honeystone Ventures, and investor Omri Casspi, bringing the company’s total valuation to $400 million. ... - The platform combines AI agent Jake, which handles tasks such as waiting on hold, chasing records, and filling applications, wit"
"研究 / 政策风险","high","known","Frontiers | The adaptive ecological trap: a grounded theory study of adolescent AI dependency","2026-06-18T01:32:34.000Z","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1839672/full","Regarding emotional function compensation, generative AI serves as a low-risk, highly controllable “ideal partner”. Through algorithmic analysis of user input, it provides seemingly precise, empathetic, and tirelessly responsive feedback. This undoubtedly offers a safe, non-judgmental emotional outlet for adolescents experiencing social anxiety or loneliness (Xie et al., 2025). Previous studies indicated that a signi"
"融资 / 商业化","high","known","Tryll Engine Raises $600K Pre-Seed at $6M Valuation to Bring On-Device AI Characters and Conversations to Games – Unite.AI","2026-06-17T15:42:13.000Z","https://www.unite.ai/tryll-engine-raises-600k-pre-seed-at-6m-valuation-to-bring-on-device-ai-characters-and-conversations-to-games/","Tryll Engine Raises $600K Pre-Seed at $6M Valuation to Bring On-Device AI Characters and Conversations to Games – Unite.AI ... A new startup aiming to make AI-native gameplay practical for game studios has secured fresh funding and opened its technology to a select group of developers. Tryll announced that it has raised a $600,000 pre-seed round led by Early Game Ventures, valuing the company at $6 million, while sim"
"融资 / 商业化","high","known","Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu","2026-06-17T13:00:00.000Z","https://tech.eu/2026/06/17/tryll-launches-ai-gaming-engine-alpha-and-secures-600k-pre-seed-funding/","Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu ... # Tryll launches AI gaming engine alpha and secures $600K pre-seed funding ... Tryll has secured new funding and launched the closed alpha of its on-device AI engine, enabling game developers to build AI-powered characters and voice interactions that run directly on players’ hardware. ... Tryll, the company behind an on-device AI e"
"中国 AI 社交出海","high","known","China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17T09:06:42.000Z","https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/","In Beijing, Shanghai, and dozens of smaller cities, millions of young Chinese are spending real money on relationships that do not exist. AI companion apps, offering virtual girlfriends, boyfriends, and conversational partners, have grown into a multi-billion-dollar industry that is reshaping consumer spending habits and attracting serious investment from the country's largest technology companies. ... The market for"
"投放 / 付费获客证据","medium","known","MojiMoshi Embeds AI Agents Inside Telegram and Line, No App Needed - AINews","2026-06-20T02:32:06.000Z","https://ainews.cool/article/20260620-mojimoshi-ai-agent-telegram-line","live inside Telegram and Line ... MojiMoshi has quietly launched a platform that embeds persistent, context-aware AI agents directly into existing messaging apps—starting with Telegram and Line. Users do not download a new app or learn a new interface; they simply add an agent to a chat, and it stays there, remembering past conversations, answering questions, and performing tasks on demand. This approach inverts the "
"投放 / 付费获客证据","medium","new","Meta Advantage+ Shopping Is Quietly Crushing Manual Campaigns for DTC – Ecommerce Times","2026-06-20T00:05:51.000Z","https://ecommerce-times.com/meta-advantage-shopping-is-quietly-crushing-manual-campaigns-for-dtc/","Something has shifted in how serious DTC operators are running Meta ads in 2026. Across dozens of brand audits this spring, media buyers at agencies including Structured, Pilothouse, and Common Thread Collective are reporting the same finding: Meta’s Advantage+ Shopping Campaigns (ASC) are outperforming manually structured campaigns at a rate that is hard to dismiss. Not in every account, not on every product, but co"
"投放 / 付费获客证据","medium","known","OpenAI Launches ChatGPT Advertising Business in Japan Amid Rising AI Costs | AJU PRESS","2026-06-19T06:24:00.000Z","https://www.ajupress.com/view/20260619152470142","OpenAI is set to launch an advertising business using ChatGPT in Japan as the company faces increasing operational costs associated with artificial intelligence (AI). The new service will display contextually relevant ads during user conversations with ChatGPT, distinguishing it from traditional search ads that appear after users input keywords. This approach aims to connect naturally emerging consumer demand with ad"
"Coverage signal watchlist","medium","new","Pixi wants to replace your boring text messages with AR characters that react to you - Digital Trends","2026-06-18T15:41:53.000Z","https://www.digitaltrends.com/phones/pixi-wants-to-replace-your-boring-text-messages-with-ar-characters-that-react-to-you/","Pixi wants to replace your boring text messages with AR characters that react to you - Digital Trends Skip to main content ... Forget stickers and GIFs, a new app called Pixi Garden wants you to send interactive augmented reality characters through iMessage instead. ... Pixi Platforms launched the messaging native app today, letting you create and send a “pixi” — an intelligent AR character that comes alive through y"
"Coverage signal watchlist","medium","known","Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch","2026-06-18T12:00:00.000Z","https://techcrunch.com/2026/06/18/pixis-new-ios-app-turns-text-messages-into-interactive-ar-experiences/","Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch ... i’s new iOS app turns ... into interactive AR experiences ... Forget stickers, GIFs, and emoji reactions. Pixi is betting that the next evolution of messaging is interactive augmented reality (AR). ... The startup launched its messaging-native app on the App Store on Wednesday, allowing users to send AI-powered AR characters throu"
