"名称","来源","处理结论","目标主线","升级路径","动作建议","优先级","状态","发布日期","原因","证据"
"Eat No Solo: Eating alone is becoming the norm: One app wants to fix that - RTL Today","2026-06-04 monitor · 线下真人社交","已覆盖/继续观察","研究/政策风险","补 research risk，不进产品主表","用于修正 AI companion 安全、青少年和依赖风险判断。","critical","known","2026-06-04T10:25:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://today.rtl.lu/lifestyle/food/articles/eating-alone-is-becoming-the-norm-one-app-wants-to-fix-that-1980529060"
"Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-05-28T10:10:47.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/"
"Super US-Listed IPO: Reshaping Valuation Anchors of MiniMax and Zhipu AI","2026-06-09 monitor · 中国 AI 社交出海","市场口径佐证","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","new","2026-06-09T15:22:23.000Z","36氪月报提供全球原生 AI app 下载与中国大陆投放/下载变化口径，可用于校准 AI companion/export 市场热度；不是单一产品融资或新增社交 app，不进入主表。","中国 AI 社交出海: https://eu.36kr.com/en/p/3845847971858696"
"Neura Closes Strategic Funding Round and Partnerships to Build Emotional AI with Persistent, User-Owned Memory - Decrypt","2026-06-09 monitor · 融资 / 商业化","待复核","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","new","2026-06-09T13:01:15.000Z","该近窗信号未被 baseline 覆盖；需要人工判断是否升级为主表产品、融资新闻、IRL 样本或暂缓观察。","融资 / 商业化: https://decrypt.co/370507/neura-closes-strategic-funding-round-and-partnerships-to-build-emotional-ai-with-persistent-user-owned-memory?amp=1"
"Sekai Raises $26M as Platform Reaches 15 Million User-Created Apps | Gate News","2026-06-07 monitor · 融资 / 商业化","待复核","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","new","2026-06-07T01:20:54.000Z","该近窗信号未被 baseline 覆盖；需要人工判断是否升级为主表产品、融资新闻、IRL 样本或暂缓观察。","融资 / 商业化: https://www.gate.com/news/detail/sekai-raises-26m-as-platform-reaches-15-million-user-created-apps-21580797"
"Substance-induced manic psychosis in which delusions were corroborated by a chatbot - case report | BMC Psychiatry | Springer Nature Link","2026-06-04 monitor · 研究 / 政策风险","待复核","研究/政策风险","补 research risk，不进产品主表","用于修正 AI companion 安全、青少年和依赖风险判断。","high","new","2026-06-04T17:06:07.000Z","该近窗信号未被 baseline 覆盖；需要人工判断是否升级为主表产品、融资新闻、IRL 样本或暂缓观察。","研究 / 政策风险: https://link.springer.com/article/10.1186/s12888-026-08137-3"
"Town Raises $55M to Expand Personalized AI Assistant  - Ventureburn","2026-06-04 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-04T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://ventureburn.com/town-raises-55m-to-expand-personalized-ai-assistant/"
"Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-03T11:49:43.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/"
"AI Game Creation Platform Aippy Announces Tens of Millions at $250M Valuation","2026-06-03 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-03T08:45:09.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://theaiinsider.tech/2026/06/03/ai-game-creation-platform-aippy-announces-tens-of-millions-at-250m-valuation/"
"Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment","2026-06-02 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-02T03:31:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://www.prnewswire.com/apac/news-releases/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment-302787864.html"
"Sekai raises $20 million as people create 15 million AI mini apps","2026-06-01 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-01T13:00:04.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"4月AI月报：全球原生AI下载3.65亿，豆包、即梦等大陆市场下载量全面收缩-36氪","2026-06-01 monitor · 中国 AI 社交出海","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","high","known","2026-06-01T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://www.36kr.com/p/3832446191462021"
"China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post","2026-05-28 monitor · 中国 AI 社交出海","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","high","known","2026-05-28T09:00:05.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://www.scmp.com/tech/tech-trends/article/3355156/chinas-minimax-records-1-million-client-base-fivefold-growth-half-year"
"New “what’s happening in Lisbon” app launches today – Portugal Resident","2026-06-08 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-08T10:02:36.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://www.portugalresident.com/new-whats-happening-in-lisbon-app-launches-today/"
"Language App Ling Challenges Automated Education Trend, Champions 'Human-First' Approach to Fluency | Web3Wire","2026-06-08 monitor · 语言交换 / 跨文化社交","已覆盖/继续观察","语言交换/跨文化社交","补语言交换长尾或主表功能差异","优先补增长信号、渠道和是否有线下面基/地图/语音房能力。","medium","new","2026-06-08T06:35:42.000Z","LING 的 human-first fluency 叙事主要是语言教育定位与品牌口径补充，和既有语言长尾观察重合；当前缺少陌生人社交、跨文化配对或线下连接的新证据，继续观察即可。","语言交换 / 跨文化社交: https://web3wire.org/ai/language-app-ling-challenges-automated-education-trend-champions-human-first-approach-to-fluency/"
