"名称","赛道/边界","补证结论","优先级","Exa结果数","来源查询ID","种子URL","原因","requestIds","证据"
"LingoPraxis","language exchange long tail","长尾留档","medium","12","lingopraxis_growth","https://lingopraxis.com/","有官网、商店和真人语言练习定位，但 targeted Exa 补证仍未找到融资、强增长、社媒声量或开放消费社交规模信号；作为长尾覆盖保留，不升级主表。","b8052d640557f8d5abeb542d5a9f97e8 | 0865bdf1faeb222c1976f3d7b53d36ad","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | INT'L CAFE: https://intlcafe.io/ | LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | ‎LingoPraxis: Speaking Club App - App Store: https://apps.apple.com/us/app/lingopraxis-speaking-club/id6446861184"
"Conversifi","language exchange / university","边界参照","medium","12","language_exchange_companies","https://conversifi.com/","定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","e6c4a9b5ac90953cf439677c74112859 | 31fe5157b921ca6ca83a184198d5c513","Conversifi: https://conversifi.com/ | INT'L CAFE: https://intlcafe.io/ | Language and Cultural Exchange for College Students | Conversifi: https://conversifi.com/ | X - Connecting Language Learners - Conversifi | Connecting the World in Conversation: https://conversifi.com/connecting-language-learners/"
"Plannit","planning / travel adjacent","排除主表","low","12","offline_social_discovery_companies","https://plannit.in/","结果更偏计划工具、AI business plan 或 travel creator booking，不是 HelloTalk/Tandem 或 AI 社交核心竞品。","c9b1adb9a7bf1f17a784db93d50d67aa | db63ebad2d1a97f2f5920207c7775a3f","Plannit: https://plannit.in/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Plannit AI Unveils Revolutionary AI Business Plan Generator: https://www.openpr.com/news/3443121/plannit-ai-unveils-revolutionary-ai-business-plan-generator | Former Priceline execs debut Plannin, a booking platform that uses travel influencers to help plan trips | TechCrunch: https://techcrunch.com/2024/05/30/plannin-travel-booking-platform-for-creators/"
"Meetup","IRL incumbent reference","边界参照","medium","12","local_activity_social_companies","https://meetup.com/","是线下活动/见面基础设施的老牌参照；不属于 AI-native 新产品，但适合作为 IRL 渠道和用户需求参照。","c01276d2daf88723d976958766fd38ca | 30d3c4c3685e539576d8c65c5956a08f","Meetup: https://meetup.com/ | MeetMux: https://meetmux.com/ | Recent changes and a look toward the future - Meetup Blog: https://www.meetup.com/blog/recent-changes-and-a-look-toward-the-future/ | Meetup's new mobile app is designed to make it easier to meet people IRL: https://www.engadget.com/mobile/meetups-new-mobile-app-is-designed-to-make-it-easier-to-meet-people-irl-150000920.html"
"Around Me","local search adjacent","排除主表","low","12","offline_social_company_boundary","https://aroundme.co/","补证结果更像本地搜索工具 AroundMe，而不是社交或 AI 社交产品。","8def207ad3fd646e7074905cfa093ab3 | ae126a6281b96fd72b034e09cc983acc","Around Me: https://aroundme.co/ | SewaYou: https://sewayou.com/ | Local Search App AroundMe Trumps Yelp's Mobile Apps With 6M Monthly Users | TechCrunch: https://techcrunch.com/2012/04/05/local-search-app-aroundme-trumps-yelps-mobile-apps-with-6m-monthly-users/ | Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/"
"Time2Talk","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://time2talk.app/","出现具体产品/公司名，但当前补证结果不足以升级主表。","c75ed4f98f5c7178540fd038dd89120d | c2b5dc802d9178aad61d6a72df69ae49","Time2Talk: https://time2talk.app/ | SewaYou: https://sewayou.com/ | Time2Talk: https://linkedin.com/company/time2talkapp | Time2talk (Educational Software) 2026 Company Profile: Valuation, Funding & Investors | PitchBook: https://pitchbook.com/profiles/company/498175-57"
"Languages Live Gesellschaft Lokalisierung mbH","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://mylanguageexchange.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","80467d952f8d5b78dc020ae7b2bb0082 | ac7762bfb970bdfa10b9ba0b748b69ba","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | INT'L CAFE: https://intlcafe.io/ | Google Translate adds live translation and language learning: https://blog.google/products-and-platforms/products/translate/language-learning-live-translate/ | WRD wants to do for language learning what GPS did for navigation — remove the thinking | VentureBeat: https://venturebeat.com/business/wrd-wants-to-do-for-language-learning-what-gps-did-for-navigation-remove-the-thinking"
"LingoLooper","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingolooper.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","b3cb4b64930868c93020ea21e9789e94 | 1aa638764d9fa796a37c9be843f3b35a","LingoLooper: https://lingolooper.com/ | Mundo Lingo: https://mundolingo.org/ | 200,000 users in one year – LingoLooper enters its next phase with new investors -: https://scienceparkskovde.se/en/articles/200000-users-in-one-year-lingolooper-enters-its-next-phase-with-new-investors/ | LingoLooper - AI Language Game on iOS and Android: https://www.lingolooper.com/"
"Plang, Inc.","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://plang.ai/","出现具体产品/公司名，但当前补证结果不足以升级主表。","d40395e833fac5a11d20abf5d1c269fe | 7e3cf9e58ae819ba013f9beb5b07a7a1","Plang, Inc.: https://plang.ai/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | 플랭, AI 영어 회화 서비스로 시리즈A 투자 유치 < 보도자료 < AI 기업 < AI산업 < 기사본문 - AI타임스: https://www.aitimes.com/news/articleView.html?idxno=155477 | [경기창경센터 창업도약] 병오년 한 해를 질주할 ‘적토마’ 같은 스타트업 (4)｜동아일보: https://www.donga.com/news/It/article/all/20260106/133105847/1"
"LingoQuesto","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingoquesto.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","9819616fd961fe59f01a4f62319bb431 | c024136fff525e5867c0fcb1b694525c","LingoQuesto: https://lingoquesto.com/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | LingoQuesto | Home: https://www.lingoquesto.com/ | LingoQuesto Secures $100K in Pre-Seed Funding to Revolutionize Language Education with AI Tools | Signalbase: https://www.trysignalbase.com/news/funding/lingoquesto-secures-100k-in-pre-seed-funding-to-revolutionize-language-education-with-ai-tools"
