"名称","覆盖状态","IRL/赛道","主结论","来源层","所有结论","原因","证据"
"222","core","最高","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 SV Post：10.1M Series A；people 查询返回 CTO Arman Roshannai、26 人团队、+44.5% YoY。 / $10.1M Series A","$10.1M Series A: https://svpost.com/articles/222-10m-series-a/ | Startuply: https://startuply.vc/startup/222-nn5rhh"
"Aglow Life","core","高（本地社区）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Aglow Life：+300% YoY 团队增长，定位 local、unfiltered、get people off their phones and back into community。","官网: https://aglow.life/"
"MeetMux","core","最高（AI activity）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 MeetMux：AI-powered、activity-first social platform，25 人团队、+216.7% YoY，基于实时和计划活动发现附近的人。","官网: https://meetmux.com/"
"Paxmeet","core","最高（活动）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Paxmeet：2025 年成立，KYC-verified people around you，通过 house party、poetry slam、wellness workshop、food crawl 连接陌生人。","官网: https://paxmeet.com/"
"Pie","core","最高","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 TechCrunch 与 Fox Business：AI matching 帮用户 make real-world friends。 / $11.5M Series A","$11.5M Series A: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/ | Fox Business: https://www.foxbusiness.com/lifestyle/new-social-media-app-uses-ai-help-users-make-real-world-friends"
"Timeleft","core","最高","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 Signalbase：7M Series A；people 查询返回 CEO Maxime Barbier 和 100+ cities GTM/partnership 线索。 / $7M Series A","$7M Series A: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding | 官网: https://timeleft.com/"
"Weekend","core","高（本地社区）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Weekend：帮助 young professionals build local communities and great friendships。","官网: https://weekend.network/"
"WeMeet by WeRoad","core","最高（本地活动）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa official/social pass 返回 WeRoad 的 WeMeet 官网和 Google Play：local events to connect with new people in real life，帮助用户参加本地活动并认识新人。","官网: https://www.weroad.com/wemeet | Google Play: https://play.google.com/store/apps/details?id=com.weroad.wemeet&hl=en_US"
"Breeze","core-boundary","最高（dating 边界）","已入 IRL 主表","competitive matrix | funding/news timeline | supplemental funding/news","已入 IRL 主表 | 已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","Exa monitor 新增提醒返回 The Independent：Breeze 2025 进入伦敦，强调 date nights without endless swiping。 / UK launch / anti-swipe IRL dating news / IRL dating US launch","UK launch / anti-swipe IRL dating news: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html | Breeze Launches IRL Group Dates Across London - Global Dating Insights: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/"
"Meet5","core-boundary","最高（边界）","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa news 返回 Business Insider Africa：德国 IRL social app 约 900 万美元 Series A，面向 Gen X / baby boomers 的线下群组活动并扩张美国。 / about $9M Series A","about $9M Series A: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
