"去重键","日期","产品/公司","金额/事件","原赛道","归一赛道","升级/处理状态","计入唯一事件","重复对应主事件","IRL/线下真人相关","明确美元融资M","金额类型","来源类型","目标视图","下一步动作","证据","对应主事件证据"
"friend-2024.07","2024.07","Friend","$5.4M / $99 AI companion necklace","AI friend / wearable companion","AI companion","候选保留：AI 社交/泛娱乐相关","yes","","no","5.4","explicit USD funding","media/news","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/",""
"friend-2024.12","2024.12","Friend","$5.4M additional raise / real-world AI friend","AI friend / wearable companion","AI companion","候选保留：IRL/线下真人相关","yes","","yes","5.4","explicit USD funding","media/news","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann",""
"limitless-2025.12","2025.12","Limitless","Meta acquisition","AI wearable memory assistant","Other","候选保留：AI 社交/泛娱乐相关","yes","","no","","M&A","web source","#funding supplemental","保留为补充候选新闻；下一轮需确认产品主体、日期和是否有融资/增长指标。","https://www.limitless.ai/",""
"oasiz-2025.10","2025.10","Oasiz","$2.5M seed","AI-native social / playable content","AI social / entertainment","候选保留：AI 社交/泛娱乐相关","yes","","no","2.5","explicit USD funding","web source","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://gamesbeat.com/oasiz-raises-2-5m-seed-round-for-viral-playable-content/",""
"imessage social network-2026.04","2026.04","AI iMessage social network","$5.1M pre-seed","AI-native social network","AI social / entertainment","候选保留：AI 社交/泛娱乐相关","yes","","no","5.1","explicit USD funding","media/news","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/",""
"sitch matchmaking-2025.06","2025.06","Sitch / AI matchmaking apps","AI + human matchmaking launch/funding signal","AI dating / matchmaking","AI dating features","候选保留：IRL/线下真人相关","yes","","yes","","business/news metric","media/news","#funding supplemental","保留为补充候选新闻；下一轮需确认产品主体、日期和是否有融资/增长指标。","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/",""
"tinder","2026.03","Tinder Live Events","IRL events / virtual speed dating","IRL dating feature","IRL / offline human social","重复佐证：主时间线已覆盖","no","Tinder Live Events","yes","","business/news metric","web source","#funding duplicate evidence","不重复计数；作为 Tinder Live Events 的补充证据来源保留。","https://www.datingindustryinsights.com/resources/singles-economy/thursday-hinge-experience-led-dating-shift","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"bumble-bee","2026.03","Bumble Bee","AI dating assistant","AI dating feature","AI dating features","重复佐证：主时间线已覆盖","no","Bumble Bee","yes","","business/news metric","web source","#funding duplicate evidence","不重复计数；作为 Bumble Bee 的补充证据来源保留。","https://thenextweb.com/news/bumble-bee-ai-assistant-dating-swipe","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"breeze","2025.03","Breeze","IRL dating US launch","IRL dating boundary","IRL / offline human social","重复佐证：主时间线已覆盖","no","Breeze","yes","","business/news metric","press release","#funding duplicate evidence","不重复计数；作为 Breeze 的补充证据来源保留。","https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC","https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html"
"posh-2026.03","2026.03","Posh","$37M Series B","IRL events / social planning","IRL / offline human social","候选保留：IRL/线下真人相关","yes","","yes","37","explicit USD funding","web source","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/",""
"known-2026.05","2026.05","Known","nearly $10M / AI voice dating app","AI dating / real dates","AI dating features","候选保留：IRL/线下真人相关","yes","","yes","10","explicit USD funding","web source","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/",""
"astrocade-2026.05","2026.05","Astrocade","$56M new funding","AI social / interactive entertainment","AI social / entertainment","候选保留：AI 社交/泛娱乐相关","yes","","no","56","explicit USD funding","media/news","#funding supplemental","保留为补充候选融资事件；下一轮若出现更强官方/媒体来源，可升级主时间线。","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/",""
