"来源层","查询ID","类别","requestId","关联状态","复核层级","复核结论","匹配实体","匹配类型","复核原因","发布日期","原始标题","URL"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Conversation Exchange","https://conversationexchange.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","Talk4Now | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Talk4Now","https://talk4now.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","meeTalk | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-25T00:00:00.000Z","meeTalk: Global Chat","https://quiksa.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","SewaYou | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-02T00:00:00.000Z","SewaYou","https://sewayou.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","unlinked-review","signal-candidate","信号复核","","","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","2026-05-03T00:00:00.000Z","SPEAK - Share your world","https://speak.social/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","MatchaLingua","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-16T00:00:00.000Z","MatchaLingua","https://matchalingua.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","Friend","funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-30T00:00:00.000Z","PenPal","https://penpal.me/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","FluentPal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","FluentPal Ltd","https://fluentpal.net/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-26T00:00:00.000Z","LingoPraxis - English Speaking Club","https://lingopraxis.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","unlinked-review","low-relevance","低相关留档","","","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","2026-04-23T00:00:00.000Z","Learn together 学 יחד","https://langroops.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-29T00:00:00.000Z","Conversifi","https://conversifi.com/"
"main research","language_exchange_companies","company","0b7626490ddb39d0491de69f1728aaa7","linked","linked","已关联","Friend","funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-02T00:00:00.000Z","Pangea Chat","https://pangea.chat/"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","HelloTalk - Learn Languages with Native Speakers | HelloTalk","https://www.hellotalk.com/en/"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tandem | SewaYou | Plots / Saturday / Posh | Friend","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-21T15:27:24.000Z","HelloTalk vs Tandem: Which Language Exchange App Is Better in 2026?","https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","Hilokal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","","Hilokal - Language exchange for free speaking practice","https://www.hilokal.com/en"
