"产品/公司","主赛道","唯一事件数","主时间线事件数","补充候选事件数","重复佐证行","明确美元融资事件数","明确美元融资M","IRL/线下真人相关","最近日期","金额类型","来源类型","结论","证据"
"WeRoad","IRL / offline human social","1","1","0","0","1","58","yes","2026.05","explicit USD funding","company/blog","近两年明确美元融资约 $58M，包含 IRL/线下真人方向。","2026.05 $58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us"
"Astrocade","AI social / entertainment","1","0","1","0","1","56","no","2026.05","explicit USD funding","media/news","近两年明确美元融资约 $56M，属于 AI 社交/泛娱乐或 companion 方向。","2026.05 $56M new funding: https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"Posh","IRL / offline human social","1","0","1","0","1","37","yes","2026.03","explicit USD funding","web source","近两年明确美元融资约 $37M，包含 IRL/线下真人方向。","2026.03 $37M Series B: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/"
"Tolan","AI companion","2","2","0","0","2","30","no","2025.07","explicit USD funding","media/news","近两年明确美元融资约 $30M，属于 AI 社交/泛娱乐或 companion 方向。","2025.02 $10M launch funding: https://www.geekwire.com/2025/these-colorful-ai-aliens-could-be-your-new-virtual-best-friend-as-startup-lands-10m-to-launch-tolan/ | 2025.07 $20M new funding: https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"Partiful","IRL / offline human social","1","1","0","0","1","20","yes","2024.11","explicit USD funding","funding database/news","近两年明确美元融资约 $20M，包含 IRL/线下真人方向。","2024.11 $20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections"
"Status AI","AI social / entertainment","1","1","0","0","1","17","no","2026.05","explicit USD funding","media/news","近两年明确美元融资约 $17M，属于 AI 社交/泛娱乐或 companion 方向。","2026.05 $17M seed + Series A: https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"Born / Pengu","AI companion","1","1","0","0","1","15","no","2025.09","explicit USD funding","media/news","近两年明确美元融资约 $15M，属于 AI 社交/泛娱乐或 companion 方向。","2025.09 $15M Series A: https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/"
"Pie","IRL / offline human social","1","1","0","0","1","11.5","yes","2025.03","explicit USD funding","media/news","近两年明确美元融资约 $11.5M，包含 IRL/线下真人方向。","2025.03 $11.5M Series A: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/"
"Friend","AI companion","2","0","2","0","2","10.8","yes","2024.12","explicit USD funding","media/news","近两年明确美元融资约 $10.8M，包含 IRL/线下真人方向。","2024.07 $5.4M / $99 AI companion necklace: https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/ | 2024.12 $5.4M additional raise / real-world AI friend: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"222","IRL / offline human social","1","1","0","0","1","10.1","yes","2025.12","explicit USD funding","funding database/news","近两年明确美元融资约 $10.1M，包含 IRL/线下真人方向。","2025.12 $10.1M Series A: https://svpost.com/articles/222-10m-series-a/"
