"名称","来源查询ID","类别","requestId","赛道/边界","处理结论","原因","发布日期","原始标题","URL","摘要"
"Add One","residual_irl_long_tail","company","e2cd614c92d896516c1bde383e5c5381","friend-of-friend social","monitor watchlist","有通过朋友认识新朋友的社交定位，但缺融资/规模/上线新闻，继续观察。","2026-04-27T00:00:00.000Z","Add One","https://getaddone.com/","Add One is a Social Networking Platforms company. Add One employs 3 people (+50.0% YoY, +1 person), founded in 2025. with presence in Netherlands, United Kingdom, and Austria. [...] Add One believes that the most meaningful connections are sparked by making new friends through your friends. Our world is full of opportunities to meet strangers - but we keep missing substance. To change that, we create opportunities for friends of friends to meet IRL - championing brining friends together IRL again. [...] - Industry:"
"Eve Inc.","residual_irl_long_tail","company","e2cd614c92d896516c1bde383e5c5381","IRL spontaneous social","monitor watchlist","新社交平台，强调 everyday tasks 到 face-to-face connections；缺融资/规模信号，继续监控。","2026-05-01T00:00:00.000Z","Eve Inc.","https://meetwitheve.com/","Eve Inc. is a Social Networking Platforms company. Eve Inc. employs 3 people, founded in 2025. Headquartered in Dover, Delaware, United States. [...] Eve is a new social platform that turns everyday tasks, spontaneous whims, and niche interests into real, face-to-face connections. Whether it’s finding someone to join a spur-of-the-moment grocery run or watch an obscure documentary, Eve helps users find the right companions at the right time. Our aim isn’t merely to help people meet; it’s to ensure they connect with"
"Gist IRL","residual_irl_long_tail","company","e2cd614c92d896516c1bde383e5c5381","IRL networking","monitor watchlist","有面对面 networking 定位，但团队/融资/增长证据薄；进入 monitor watchlist，不升级主矩阵。","2026-04-25T00:00:00.000Z","Gist IRL","https://gistirl.com/","Gist IRL is a Social Networking Platforms company. Gist IRL employs 2 people. Headquartered in San Francisco, California, United States. [...] Finding real community takes both values alignment and personality fit, and the only way to find your people is to meet a lot of them. Most of adult life isn't built for that. Work friendships fade when jobs change. College friends move away. Networking events optimize for transactions. Group dinners with strangers skip the part where you actually get to choose your people. "
"Soma","residual_irl_long_tail","company","e2cd614c92d896516c1bde383e5c5381","IRL gatherings","monitor watchlist","有 invite-only gatherings、200+ dinners 和 30,000+ people 叙事，需继续补融资和活跃城市证据。","2026-05-03T00:00:00.000Z","Soma","https://somagatherings.com/","Soma is a Entertainment Providers company. Headquartered in Austin, Texas, United States. [...] Soma is an app for intimate, invite-only gatherings designed to bring the right people together in a setting with more depth and less noise. Under our previous brand, SocialTable, we hosted 200+ dinners across Austin, Nashville, Seoul, and Bali, and over 30,000 people created a profile in the app. We built Soma based on what we learned there, and we’re now launching across Asia. [...] - Industry: Entertainment Providers "
"Fai Nur","residual_ai_social_people","people","9da38377e06e64dff19ca118ef633ffd","AI social founder background","已覆盖/重复佐证","Fai Nur 是 Status AI 创始人背景信号；已能支撑 company/people 判断，不作为独立产品。","2026-05-07T21:38:09.000Z","Fai Nur","https://linkedin.com/in/fainur","ceo/cofounder @ Status (YC W22) | Forbes 30 Under 30 [...] CEO And Co-founder at Status [...] CEO and Co-founder of Status [...] ### CEO And Co-founder at Status (Current) [...] Jun 2022 - Present (3 years and 11 months) in New York, New York, US [...] Department: General Management • Level: Founder [...] Status is a Social Networking Platforms company. wishroll inc. is an app store designed for iPhone that offers status terms of use and privacy policy. Users can create a persona, join different fandoms, post with "
"janitorai","residual_companion_long_tail","company","cc388a7b64af78c2e9fbb272ad619c4d","AI companion / roleplay","已覆盖/重复佐证","Janitor AI 已在 discovery funding/scale signal 中以 DAU/用户规模口径保留；这里作为重复公司证据。","","janitorai","https://janitorai.com/","janitorai is a Software Development company. Janitorai employs 7 people (+160.0% YoY). with presence in United States, Australia, Indonesia, and Poland. [...] janitorai is a platform for creators building immersive worlds and readers seeking living stories. We are where human creativity meets AI magic. [...] - Industry: Software Development - Type: Privately Held - Homepage: janitorai.com - Status: active - Aliases: janitorai, janitorai inc - LinkedIn: linkedin.com/company/janitorai - Linkedin Followers: 523 [...] "
"Pie","residual_irl_long_tail","company","e2cd614c92d896516c1bde383e5c5381","IRL social","已覆盖/重复佐证","Pie 已在主表/IRL 覆盖中出现；这里作为 company signal 佐证。","2026-04-29T00:00:00.000Z","Pie","https://getpie.app/","Pie is a Technology, Information and Internet company. Pie is a social media platform that helps people find and connect with friends. Pie employs 19 people (+19.9% YoY). Headquartered in Chicago, Illinois, United States. Has $11.5M in total funding, with 1 prior funding round. [...] - Industry: Technology, Information and Internet - Type: Privately Held - Headquarters: Chicago, United States - Homepage: getpie.app - Status: active - Aliases: pie, get pie, pbc - LinkedIn: linkedin.com/company/piesocial - Linkedin F"
"Homii World","residual_irl_long_tail","company","e2cd614c92d896516c1bde383e5c5381","housing / relocation adjacent","排除主表","更像日本租房/host family relocation 服务，不是 AI 社交、语言交换或 IRL social 核心产品。","","Homii World","https://homiiworld.com/","Homii World is a Social Networking Platforms company. Homii Life is a company that supports those looking for work in Japan. They provide fully furnished rooms for rent, flexible contract lengths, and online accommodation. They aim to enrich the new life in Japan by offering a memorable experience with their host family. Homii World employs 2 people (+300.0% YoY), founded in 2025. Headquartered in Shinjuku, Tokyo, Japan, with presence in United States. [...] Homii World is an IRL social network that uses AI to matc"
"Lingopie","residual_language_media","company","03956ca9c549ba694064ad0d44105b82","language learning media","排除主表","偏影视字幕语言学习和课程，不是 HelloTalk/Tandem 式真人语伴社交。","2026-05-03T00:00:00.000Z","Lingopie","https://lingopie.com/","Lingopie is a E-Learning Providers company. Lingopie is a company that provides language learning services for students. They offer a wide range of TV shows with subtitles, allowing users to learn and access various language skills. They also provide live group lessons and live group lessons to improve language skills. Lingopie aims to help students improve their language skills and gain confidence in conversation with other students and teachers. Lingopie employs 56 people (+6.2% YoY, +4 people) and has an annual "
"ChatFai","residual_companion_long_tail","company","cc388a7b64af78c2e9fbb272ad619c4d","AI character / roleplay","边界留档","角色聊天产品，未找到融资、下载、收入或真人社交证据；不升级主矩阵，保留为 companion/roleplay 长尾。","2026-04-27T00:00:00.000Z","ChatFai","https://chatfai.com/","ChatFai is a Software Development company. ChatFAI is a company that allows users to chat with their favorite characters from movies, TV shows, books, and more. ChatFai employs 4 people, founded in 2023. Headquartered in Lewes, Delaware, United States, with presence in Pakistan. [...] An AI-powered experience that allows you to chat with your favorite characters from movies, TV shows, books, history, and more. [...] - Industry: Software Development - Type: Privately Held - Headquarters: Lewes, United States - Found"
