"名称","覆盖状态","主结论","来源层","所有结论","证据数","原因","证据"
"Conversation Exchange","core","已入主表","competitive matrix | language long-tail discovery","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。 / 该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Conversation Exchange: https://conversationexchange.com/"
"Fluently","core","已入主表","competitive matrix","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","Exa discovery company result: https://fluently.chat/"
"FluentPal","core","已入主表","competitive matrix","已入主表","1","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","官网: https://fluentpal.net/"
"HelloTalk","core","已入主表","competitive matrix | language long-tail discovery","已入主表","3","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。 / 该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","腾讯新闻: https://news.qq.com/rain/a/20250619A08BA600 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk | HelloTalk: https://hellotalk.com/"
"Hilokal","core","已入主表","competitive matrix","已入主表","1","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","官网: https://www.hilokal.com/en"
"LangPal","core","已入主表","competitive matrix | language long-tail discovery","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。 / 该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","LangPal: https://lang-pal.com/"
"Lingbe","core","已入主表","competitive matrix | language long-tail discovery","已入主表","3","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。 / 该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Lingbe: https://lingbe.com/"
"Linguado","core","已入主表","competitive matrix","已入主表","1","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","官网: https://linguado.com/"
"MatchaLingua","core","已入主表","competitive matrix","已入主表","1","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","官网: https://matchalingua.com/"
"meeTalk","core","已入主表","competitive matrix","已入主表","1","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","官网: https://quiksa.com/"
"RoamChat","core","已入主表","competitive matrix","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","PR Newswire: https://www.prnewswire.com/news-releases/as-ai-is-redefining-how-strangers-connect-globally-roamchat-introduces-a-new-roaming-social-platform-302775994.html | 官网: https://roamchat.co/"
"SewaYou","core","已入主表","competitive matrix","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","官网: https://sewayou.com/ | 对比文: https://www.sewayou.com/blog/best-language-exchange-apps-2026"
"Slowly","core","已入主表","competitive matrix","已入主表","1","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=id"
"SpeakyParrot","core","已入主表","competitive matrix","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。","Exa discovery company result: https://speakyparrot.com/"
"Talk4Now","core","已入主表","competitive matrix | language long-tail discovery","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。 / 该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Talk4Now: https://talk4now.com/"
"Tandem","core","已入主表","competitive matrix | language long-tail discovery","已入主表","2","已在 HelloTalk/Tandem 相邻主表中，包含增长信号、渠道、功能差异和证据等级。 / 该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Tandem: https://tandem.net/"
"FluentPal Ltd","watchlist","候选补证","language long-tail discovery","候选补证","1","Exa 长尾结果显示有真人语伴、连接或语言交换属性，但还需要官网/应用商店/社媒证据后再决定是否升级进主表。","FluentPal Ltd: https://fluentpal.net/"
"Conversifi","boundary","边界参照","language long-tail discovery | candidate deep-dive","边界参照","5","candidate deep-dive 已复核为边界或暂缓项，不进入主表候选升级队列。 / 定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","Language and Cultural Exchange for College Students | Conversifi: https://conversifi.com/ | INT'L CAFE: https://intlcafe.io/ | Conversifi: https://www.linkedin.com/company/conversifi"
"Ling","boundary","学习工具边界","language long-tail discovery","学习工具边界","1","结果更偏内容学习或课程工具，真人社交/语伴证据弱；保留为边界样本，不直接升级。","Ling: https://ling-app.com/"
"Lingopie","boundary","学习工具边界","language long-tail discovery","学习工具边界","1","结果更偏内容学习或课程工具，真人社交/语伴证据弱；保留为边界样本，不直接升级。","Lingopie: https://lingopie.com/"
"LingoPraxis","boundary","长尾留档","language long-tail discovery | candidate deep-dive","长尾留档","8","targeted Exa company/news pass 证明其有官网、App Store / Google Play、Telegram bot 和 peer-to-peer speaking club 属性，但未找到融资、强增长、社媒声量或开放消费社交规模信号；作为 HelloTalk/Tandem 长尾覆盖保留，不升级主矩阵。 / 有官网、商店和真人语言练习定位，但 targeted Exa 补证仍未找到融资、强增长、社媒声量或开放消费社交规模信号；作为长尾覆盖保留，不升级主表。","LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis - English Speaking Club: https://linkedin.com/company/lingopraxis | LingoPraxis: Language Exchange 4+: https://apps.apple.com/ua/app/lingopraxis-language-exchange/id6446861184 | ‎LingoPraxis: Speaking Club App - App Store: https://apps.apple.com/us/app/lingopraxis-speaking-club/id6446861184 | INT'L CAFE: https://intlcafe.io/"
