"日期","产品/公司","金额/事件","赛道","证据"
"2024.06","Butterflies AI","$4.8M seed","AI social","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html"
"2024.11","Partiful","$20M Series A","IRL events boundary","https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections"
"2024.10","Dippy AI","$2.1M pre-seed","AI companion","https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html"
"2024.10","Daze","$5.7M","AI messaging","https://techcrunch.com/2024/10/21/daze-a-creative-ai-powered-messaging-app-for-gen-z-is-blowing-up-prelaunch/"
"2025.02","Tolan","$10M launch funding","AI companion","https://www.geekwire.com/2025/these-colorful-ai-aliens-could-be-your-new-virtual-best-friend-as-startup-lands-10m-to-launch-tolan/"
"2025.03","Pie","$11.5M Series A","IRL social","https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/"
"2025","Meet5","about $9M Series A","IRL social boundary","https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
"2026.05","Breeze","UK launch / anti-swipe IRL dating news","IRL dating boundary","https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html"
"2026.05","WeRoad","$58M Series C","IRL group travel boundary","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us"
"2025.04","Series","$3.1M pre-seed","AI social","https://www.globenewswire.com/news-release/2025/04/04/3056141/0/en/Yale-founders-raise-3-1M-in-14-days-to-build-Series-the-anti-Facebook.html"
"2025.04","Pallie AI","$2M pre-seed","AI companion","https://www.prnewswire.com/news-releases/ai-companion-pallie-ai-raises-2-million-to-reduce-loneliness-and-improve-wellbeing-302441202.html"
"2025.07","Tolan","$20M new funding","AI companion","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"2025.09","Born / Pengu","$15M Series A","AI companion","https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/"
"2025.12","222","$10.1M Series A","IRL social","https://svpost.com/articles/222-10m-series-a/"
"2026.03","Timeleft","$7M Series A","IRL social","https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding"
"2026.04","Caveduck","$3.2M Series A","AI roleplay","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/"
"2026.04","Pictoria","¥330M","AI character","https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding"
"2026.05","Charms","$1.5M pre-seed","AI character","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/"
"2026.05","Status AI","$17M seed + Series A","AI entertainment","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"2026.05","RoamChat","AI roaming social launch","AI social / cross-cultural chat","https://www.prnewswire.com/news-releases/as-ai-is-redefining-how-strangers-connect-globally-roamchat-introduces-a-new-roaming-social-platform-302775994.html"
"2026.04","HiWaifu","未融资；约 2000 万元年营收","China AI companion export","https://www.baijing.cn/article/52888"
"2026.02","PolyBuzz","约 4200 万月访问量","China AI companion export","https://news.qq.com/rain/a/20260204A05BK500"
"2024.08","Thursday","San Francisco launch / offline dating events","IRL dating boundary","https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"2026.03","Bumble Bee","AI dating assistant launch","AI dating feature","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"2026.05","Tinder Live Events","live events + AI features + group dating","IRL dating feature","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
