"去重键","来源","日期","产品/公司","金额/事件","赛道","重复组大小","计入唯一事件","证据"
"butterflies-2024.06","core timeline","2024.06","Butterflies AI","$4.8M seed","AI social","1","yes","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html"
"partiful-2024.11","core timeline","2024.11","Partiful","$20M Series A","IRL events boundary","1","yes","https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections"
"dippy-2024.10","core timeline","2024.10","Dippy AI","$2.1M pre-seed","AI companion","1","yes","https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html"
"daze-2024.10","core timeline","2024.10","Daze","$5.7M","AI messaging","1","yes","https://techcrunch.com/2024/10/21/daze-a-creative-ai-powered-messaging-app-for-gen-z-is-blowing-up-prelaunch/"
"tolan-2025.02","core timeline","2025.02","Tolan","$10M launch funding","AI companion","1","yes","https://www.geekwire.com/2025/these-colorful-ai-aliens-could-be-your-new-virtual-best-friend-as-startup-lands-10m-to-launch-tolan/"
"pie-2025.03","core timeline","2025.03","Pie","$11.5M Series A","IRL social","1","yes","https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/"
"meet5-2025","core timeline","2025","Meet5","about $9M Series A","IRL social boundary","1","yes","https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
"breeze","core timeline","2026.05","Breeze","UK launch / anti-swipe IRL dating news","IRL dating boundary","2","yes","https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html"
"weroad-2026.05","core timeline","2026.05","WeRoad","$58M Series C","IRL group travel boundary","1","yes","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us"
"series-2025.04","core timeline","2025.04","Series","$3.1M pre-seed","AI social","1","yes","https://www.globenewswire.com/news-release/2025/04/04/3056141/0/en/Yale-founders-raise-3-1M-in-14-days-to-build-Series-the-anti-Facebook.html"
"pallie-2025.04","core timeline","2025.04","Pallie AI","$2M pre-seed","AI companion","1","yes","https://www.prnewswire.com/news-releases/ai-companion-pallie-ai-raises-2-million-to-reduce-loneliness-and-improve-wellbeing-302441202.html"
