"产品/公司","Exa query","状态","HTTP","requestId","结果数","Top results"
"Tandem","Tandem language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","e22b2da39baea6f29682abde2d24ee40","8","Tandem Language Exchange App | Find Conversation Exchange ...: https://tandem.net/ | Tandem: Language exchange - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=net.tandem | Tandem - Language Exchange | LinkedIn: https://www.linkedin.com/company/tandem---mobile-language-exchange/ | Tandem: Practice Languages - App Store - Apple: https://apps.apple.com/us/app/tandem-practice-languages/id959001619 | Tandem: Language exchange: https://play.google.com/store/apps/details?id=net.tandem&hl=en_IE"
"Hilokal","Hilokal language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","f4ad27d4c8f3c716ff5f49863d9f1c14","8","Hilokal - Language exchange for free speaking practice: https://www.hilokal.com/en | Hilokal: Language Exchange App - App Store: https://apps.apple.com/us/app/hilokal-language-exchange-app/id1537500613 | Hilokal - AI Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hilokal | Hilokal - AI Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?id=com.hilokal&hl=en | ‎Hilokal: AI Language Learning App - App Store: https://apps.apple.com/au/app/hilokal-ai-language-learning/id1537500613"
"SewaYou","SewaYou language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","2b4e91a70be97687171a126fa49d5370","8","SewaYou | International & Japanese Friends App: https://www.sewayou.com/en | SewaYou - Japanese Friends - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.sewayou | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_GB | ‎SewaYou - Make New Friends App - App Store: https://apps.apple.com/us/app/sewayou-language-exchange/id1455473510 | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_SG"
"Conversation Exchange","""Conversation Exchange"" language exchange LinkedIn Facebook Instagram X official website conversationexchange.com","ok","200","512f3a08de3516542b2e59481510b5c0","8","Conversation Exchange: https://linkedin.com/company/conversation-exchange | Language Exchange using a Chat Software: https://www.conversationexchange.com/chat-search.php?lg=en | FAQ - Frequently Asked Questions: https://www.conversationexchange.com/sep_files/FAQ.php?lg=en | Membership: https://www.conversationexchange.com/members/membership.php?lg=en | Register: First step: https://www.conversationexchange.com/members/signupFirstStage.php?lg=en"
"Talk4Now","""Talk4Now"" language exchange LinkedIn Instagram Facebook X official app store talk4now.com","ok","200","3adec8be45088ffaec87b72674bb9dba","8","Talk4Now: https://talk4now.com/ | Practice Languages Online | Talk4Now: https://talk4now.com/practice | What Is Talk4Now? A Live Voice Room for Language Practice | Talk4Now: https://talk4now.com/what-is-talk4now | About Talk4Now | Talk4Now: https://talk4now.com/about | Speak English Online — Free Live Voice Rooms | Talk4Now: https://talk4now.com/practice/english/guide/speak-english-online"
"meeTalk","meeTalk language exchange app LinkedIn Instagram Facebook Google Play official","ok","200","762ab3c6922ac0dbd616526452f80a2d","8","meeTalk: Global Chat – Apps on Google Play: https://play.google.com/store/apps/details?hl=en_IN&id=com.defenzy.meetalk | meeTalk: Global Chat: https://tr.linkedin.com/company/meetalkapp | Privacy and Security - meeTalk: https://meetalk.net/privacy | MeeTalk APK for Android Download: https://apkpure.com/meetalk/com.meetalk | Download MeeTalk 1.4 APK for Android - Free and Safe Download: https://apkpure.net/meetalk/com.meetalk/download"
"LangPal","LangPal language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","ea4f697ed7a548b6d2ba05def5a3d3e1","8","LangPal - AI-Powered Language Learning: https://www.lang-pal.com/ | LangPal - Turn Class Notes into Fluency: https://langpal.ai/ | LangPal: Screen Time Language - App Store - Apple: https://apps.apple.com/us/app/langpal-screen-time-language/id6760652205 | LangPal 4+: https://apps.apple.com/ae/app/langpal/id6738605496 | ‎Language Pal: Practice with AI App - App Store: https://apps.apple.com/us/app/language-pal-practice-with-ai/id6452385224"
"MatchaLingua","""MatchaLingua"" language exchange LinkedIn Instagram Facebook App Store Google Play official","ok","200","330e39996a244124545e1c1a192e344e","8","Langmatch: Language Exchange App: https://langmatch.app/ | Lingua Talk - Apps on Google Play: https://play.google.com/store/apps/details?hl=en&id=com.parsa.lingua_talk | Language Exchange Langmatch 17+: https://apps.apple.com/ng/app/language-exchange-langmatch/id1441242535 | Link Ling - Apps on Google Play: https://play.google.com/store/apps/details?id=com.mycompany.Corner&hl=en_US | LingoLink - Chat Fluently: https://apps.apple.com/us/app/lingolink-chat-fluently/id6756944318"
"Slowly","Slowly app LinkedIn Instagram Facebook X App Store Google Play official","ok","200","2d60a3812b72285137924a63adbaaf62","7","Slowly - Penpal Reimagined: https://slowly.app/ | Slowly: Make Global Friends - Apps on Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_US | ‎Slowly: Make Global Friends App - App Store: https://apps.apple.com/us/app/slowly-make-global-friends/id1199811908 | Terms of Service - Slowly: https://slowly.app/terms/ | Slowly: Make Global Friends – Apps on Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_GB"
"FluentPal","""FluentPal"" language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","e382b9f60d6a6f31d0eab27c068731b6","8","FluentPal - Language Learning with AI: https://fluentpal.app/en | FluentPal: Get fluent faster - Apps on Google Play: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_US | ‎FluentPal - Get fluent faster App - App Store: https://apps.apple.com/us/app/fluentpal-get-fluent-faster/id6462874346 | FluentPal 4+: https://apps.apple.com/us/app/fluentpal/id6462874346 | FluentPal: Get fluent faster: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_GB"
