"来源层","查询ID","类别","requestId","结果数","唯一域名数","头部来源域名","查询语句"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","12","12","conversationexchange.com (1) | fluentpal.net (1) | lang-pal.com (1) | lingopraxis.com (1) | linguado.com (1)","companies and apps similar to HelloTalk and Tandem for language exchange social networking native speaker chat voice rooms pen pals"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","12","10","hellotalk.com (3) | 10100.com (1) | apps.apple.com (1) | hilokal.com (1) | news.qq.com (1)","HelloTalk Tandem Lingbe Speaky Slowly SewaYou Hilokal language exchange app users growth social features voice rooms 2024 2025 2026"
"main research","new_language_exchange_companies","company","164edbed3bbb273b4dbee6c0f0bdaf0d","12","12","conversationexchange.com (1) | conversifi.com (1) | fluentpal.net (1) | hellotalk.com (1) | hilokal.com (1)","new language exchange social apps 2024 2025 2026 similar to HelloTalk Tandem SewaYou Hilokal Slowly Linguado LangPal MatchaLingua native speaker matching nearby cultural exchange"
"main research","ai_social_funding_news","news","82d6d5c047907a9799dbc2b9a820d8ec","12","9","techcrunch.com (4) | finsmes.com (1) | gamesbeat.com (1) | geekwire.com (1) | intelligentcio.com (1)","AI social app AI companion consumer social entertainment startup funding 2024 2025 2026 Butterflies Daze Dippy Tolan Pengu Status AI"
"main research","ai_companion_roleplay_funding_news","news","2651aaf5b76df80a424e15a67e920f17","11","11","aiinasia.com (1) | businesswire.com (1) | en.sedaily.com (1) | globenewswire.com (1) | itbusinesstoday.com (1)","AI companion roleplay app funding 2024 2025 2026 Replika Character.AI Nomi Kindroid PolyBuzz Chai Talkie MiniMax Linky HiWaifu Oh Dippy"
"main research","mature_ai_companion_products","company","42f5cd2eca32eb036a2323c5e7ea4c8f","12","12","blush.ai (1) | chai.ai (1) | character.ai (1) | janitor-ai.org (1) | kindredlabs.ai (1)","AI companion apps Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI company product users revenue"
"main research","mature_ai_companion_news","news","375c582ef14eeac7d72e1c22d9828dff","11","11","ainews.com (1) | aol.com (1) | axios.com (1) | digitaltoday.co.kr (1) | esafety.gov.au (1)","Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI funding revenue growth safety news 2024 2025 2026"
"main research","china_ai_companion_exports","news","ef330037f2d7d362ddd29780f421cfb6","12","12","chinatalk.media (1) | cnbc.com (1) | eu.36kr.com (1) | implicator.ai (1) | netmarvel.com (1)","Chinese AI companion app overseas Talkie MiniMax PolyBuzz Linky HiWaifu Oh AI roleplay app downloads revenue funding 2024 2025 2026"
"main research","ai_social_entertainment_news","news","f87a5b0c3d071123108683abb7b10d34","12","11","techcrunch.com (2) | finalboss.io (1) | finance.yahoo.com (1) | gamesbeat.com (1) | geekwire.com (1)","AI social network interactive entertainment app funding 2024 2025 2026 Butterflies Status AI Series Oasiz Daze social media RPG fanfiction"
"main research","offline_ai_social_news","news","260fc0830d79770c6fd9d48974fc702c","11","10","techcrunch.com (2) | app.dealroom.co (1) | b17news.com (1) | febspot.com (1) | foxbusiness.com (1)","AI powered offline social app funding IRL friends dinner strangers meetups 222 Pie Timeleft 2024 2025 2026"
