"来源类别","主体","关联主表产品","维度","信号","解释","证据"
"company","HelloTalk","HelloTalk","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: HelloTalk. HelloTalk is a Education company. HelloTalk employs 92 people (+16.8% YoY, +26 people) and has an annual revenue of $2.4M, founded in 2012. Headquartered in Los Angeles, California, United States, operates in 30 countries (including China, Indonesia, Egypt, Japan, and Brazil). Has $3.0M in total funding. ... HelloTalk, also abbreviated as HT, is a language exchange app and website released in 2013. It is monetized us","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","HelloTalk: https://hellotalk.com/"
"company","Tandem","Tandem","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Tandem. Tandem is a E-Learning Providers company. Tandem is a language learning app that allows users to connect with native speakers and practice their target languages. Tandem employs 41 people (+7.8% YoY, +4 people), founded in 2015. Headquartered in Berlin, Berlin, Germany, operates in 15 countries (including Indonesia, Spain, United Kingdom, Italy, and Czechia). Has $8.1M in total funding, with 4 prior funding rounds. .","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Tandem: https://tandem.net/"
"company","Hilokal","Hilokal","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Hilokal. Hilokal is a E-Learning Providers company. Hilokal is a language exchange app that allows users to learn and practice target language with new friends and native speakers. It offers fun audio group calls, live audio calls, and private language cafes. The app also features moderation tools and features in the mobile app. Hilokal aims to improve fluency and confidence for language learners. Hilokal employs 28 people (+","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Hilokal: https://hilokal.com/"
"company","Partiful","Partiful","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Partiful. Partiful is a Technology, Information and Internet company. Partiful is a company that allows users to plan events in seconds, with fun event pages. They provide text blasts and automatic reminders to help guests share photos, comments, and more. Partiful employs 89 people (+70.3% YoY, +45 people) and has an annual revenue of $650.0K, founded in 2020. Headquartered in New York, New York, United States, with presence","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Partiful: https://partiful.com/"
"company","Pie","Pie","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Pie. Pie is a Technology, Information and Internet company. Pie is a social media platform that helps people find and connect with friends. Pie employs 19 people (+19.9% YoY). Headquartered in Chicago, Illinois, United States. Has $11.5M in total funding, with 1 prior funding round. ... Linkedin Followers: 5,989 (Monthly ... +1.6 ... - Total Funding: USD 11,500,000 - Series A (2024-09-19): USD 11.5M - 6 investors, led by","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Pie: https://getpie.app/"
"company","Breeze","Breeze","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Breeze. Breeze is a Software Development company. Breeze is a dating app that takes online dating offline. They organize your first date at one of their safe partner bars. Breeze employs 40 people (+6.7% YoY, +4 people) and has an annual revenue of $2.5M, founded in 2019. Headquartered in Rotterdam, Zuid-Holland, Netherlands, operates in 6 countries (including United Kingdom, Romania, Belgium, United States, and Curaçao). Ha","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Breeze: https://breeze.social/"
"company","Meet5","Meet5","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Meet5. Meet5 is a Technology, Information and Internet company. meet5 is a company that allows users to connect and create meets, organize activities, and organize events. They cater to individuals in the middle age, who have a strong connection with each other. The app provides a simple and secure approach to meeting and providing a safe and enjoyable experience for their members. Meet5 employs 65 people (+56.2% YoY, +27 p","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Meet5: https://meet5.de/"
"company","WeRoad","WeRoad","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: WeRoad. WeRoad is a Leisure, Travel & Tourism company. WeRoad is a team of over 200 talented individuals from diverse backgrounds that revolutionize the way millennials discover the world. They value potential, talent, and culture fit over what’s on your CV. They offer job openings in Milan, Madrid, London, Paris, and Berlin. WeRoad employs 1,113 people (+18.0% YoY, +214 people), founded in 2017. Headquartered in Italy, oper","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","WeRoad: https://weroad.com/"
"company","Thursday","Thursday","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Thursday. Thursday is a Events Services company. Thursday™ is a company that hosts singles-only events in over 150 cities. They offer bar nights, run clubs, comedy, and more. They also provide exclusive events for singles. Thursday employs 82 people (+92.6% YoY, +63 people) and has an annual revenue of $1.3M, founded in 2018. Headquartered in Aldgate, England, United Kingdom, operates in 17 countries (including United States,","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Thursday: https://thursday.com/"
"company","Paxmeet","Paxmeet","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Paxmeet. Paxmeet is a Social Networking Platforms company. Paxmeet employs 5 people, founded in 2025. Headquartered in New Delhi, India. ... Paxmeet is a social platform that transforms strangers into stories through real-world events. Whether it’s a house party, poetry slam, wellness workshop, or food crawl — Paxmeet helps you discover and join events curated by real, KYC-verified people around you. ... 1. Discover events by","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Paxmeet: https://paxmeet.com/"
