"日期","产品/公司","金额/事件","赛道","证据","原始标题","摘要"
"2024.07","Friend","$5.4M / $99 AI companion necklace","AI friend / wearable companion","https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/","Friend's $99 necklace uses AI to help combat loneliness | TechCrunch","Friend's $99 necklace uses AI to help combat loneliness | TechCrunch [...] to help combat loneliness [...] AI hardware is all the rage in startup land — though receptions have thus far been mixed. Two notable examples, Rabbit and Humane, released devices to disappointing results. a16z-backed Limitless and Exor-backed Bee AI, meanwhile, are working on their o"
"2024.12","Friend","$5.4M additional raise / real-world AI friend","AI friend / wearable companion","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","Friend’s AI chatbots have issues — and they want your help | The Verge","Friend just raised another $5.4 million to bring AI friends into the real world. [...] Friend just raised another $5.4 million to bring AI friends into the real world. [...] This is the feeling Avi Schiffmann wants to bottle with his AI companion startup, Friend. Friend debuted earlier this year with a soothing vision: it offered an AI therapist that was alw"
"2025.12","Limitless","Meta acquisition","AI wearable memory assistant","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/","Meta acquires AI device startup Limitless | TechCrunch","Limitless, the AI startup formerly known as Rewind, has been acquired by Meta, the company announced Friday on its website. The company, which made an AI-powered pendant to record your conversations, says it will no longer sell its hardware devices and will maintain support for its existing customers for a year. [...] Customers will no longer have to pay a s"
"2025.10","Oasiz","$2.5M seed","AI-native social / playable content","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press Skip to main content [...] # Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content [...] ## With 5,000+ games already built in beta, Oasiz combines the viral momentum of TikTok with the creative depth of Roblox [...] SAN FRANCISCO, "
"2026.04","AI iMessage social network","$5.1M pre-seed","AI-native social network","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch [...] Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage [...] Series, a social networking app, announced that it raised a $5.1 million pre-seed round, with investors including Venmo co-founder Iqram Magdon-Ismail, Pear "
"2026.03","Tinder Live Events","IRL events / virtual speed dating","IRL dating feature","https://www.startupheist.com/the-anti-tinder-arbitrage/","The Anti-Tinder Arbitrage","Dating apps are losing 600K users while IRL events surge 42 percent. The infrastructure layer underneath this shift doesn't exist yet. [...] Between May 2023 and May 2024, Tinder lost 594,000 users in the UK. Hinge shed 131,000. Bumble dropped 368,000. By Q2 2025, Bumble's paying users had fallen 8.7% to 3.8 million. Match Group—owner of both Tinder and Hing"
"2026.03","Bumble Bee","AI dating assistant","AI dating feature","https://thenextweb.com/news/bumble-bee-ai-assistant-dating-swipe","Bumble’s AI assistant Bee will learn what you want from a relationship","Bumble’s AI assistant Bee will learn what you want from a relationship [...] The dating app unveiled Bee at its Q4 earnings alongside a broader ‘Bumble 2.0’ overhaul, as the company attempts to reverse years of declining user numbers by replacing gamified swiping with AI-driven compatibility. [...] There is a version of the future, Bumble’s version, at least"
"2025.03","Breeze","IRL dating US launch","IRL dating boundary","https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC","Taking Online Dates Offline: Dating App Breeze Launches in the U.S., Starting with NYC","The successful European platform aims to bring singles together IRL in the city with one of the highest amounts of dating app users in the world. [...] NEW YORK--(BUSINESS WIRE)-- Breeze, the dating app for real dates, announces its expansion into the United States. Starting with New York City, the platform targets online dating fatigue by encouraging users "
"2026.03","Posh","$37M Series B","IRL events / social planning","https://qoshe.com/fortune/lily-mae-lazarus/exclusive-posh-lands-37m-series-b-to-crack-the-what-are-we-doing-tonight-problem/188187957","QOSHE - Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem - Lily Mae Lazarus","QOSHE - Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem - Lily Mae Lazarus info brightness_medium left_panel_close view_agenda grid_view [...] Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem [...] Event platform Posh raised a fresh $37 million to solve one of the quintessential “tarp"
"2026.02","Ditto","$9.2M / real-date college dating","IRL dating / anti-swipe","https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345","Ditto raises $9.2M to replace swiping with real dates for college students | Markets Insider","Berkeley, Feb. 03, 2026 (GLOBE NEWSWIRE) -- For a generation that lives on their phones, dating has somehow become more time-consuming and less social. College students swipe endlessly, juggle multiple chats, and still struggle to turn matches into actual dates. Ditto was created to remove that friction entirely. Today, the company announced a $9.2 million f"
