"名称","来源","处理结论","目标主线","升级路径","动作建议","优先级","状态","发布日期","原因","证据"
"OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables","2026-06-18 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-06-18T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/"
"‎Timeleft: Make New Friends IRL App - App Store","2026-06-15 monitor · 线下真人社交","边界观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","new","2026-06-15T23:33:49.402Z","自动规则未命中强升级条件；按 优先判断是否补 IRL 产品或融资/新闻时间线 留在 monitor 观察，不升级主表或融资时间线。","线下真人社交: https://apps.apple.com/bt/app/timeleft-make-new-friends-irl/id6466442949"
"Turnout Announces $35M Series A to Put an AI Advocate in Every American’s Corner","2026-06-19 monitor · 融资 / 商业化","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","high","known","2026-06-19T15:34:20.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://theaiinsider.tech/2026/06/19/turnout-announces-35m-series-a-to-put-an-ai-advocate-in-every-americans-corner/"
"Frontiers | The adaptive ecological trap: a grounded theory study of adolescent AI dependency","2026-06-18 monitor · 研究 / 政策风险","已覆盖/继续观察","研究/政策风险","补 research risk，不进产品主表","用于修正 AI companion 安全、青少年和依赖风险判断。","high","known","2026-06-18T01:32:34.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","研究 / 政策风险: https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1839672/full"
"Tryll Engine Raises $600K Pre-Seed at $6M Valuation to Bring On-Device AI Characters and Conversations to Games – Unite.AI","2026-06-17 monitor · 融资 / 商业化","边界观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","new","2026-06-17T15:42:13.000Z","自动规则未命中强升级条件；按 补 funding timeline 或 funding-news review 留在 monitor 观察，不升级主表或融资时间线。","融资 / 商业化: https://www.unite.ai/tryll-engine-raises-600k-pre-seed-at-6m-valuation-to-bring-on-device-ai-characters-and-conversations-to-games/"
"Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu","2026-06-17 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-17T13:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://tech.eu/2026/06/17/tryll-launches-ai-gaming-engine-alpha-and-secures-600k-pre-seed-funding/"
"Maya Research Raises $1.9M for Voice AI, Backed by South Park Commons","2026-06-17 monitor · 融资 / 商业化","已覆盖/继续观察","研究/政策风险","补 research risk，不进产品主表","用于修正 AI companion 安全、青少年和依赖风险判断。","high","known","2026-06-17T11:26:57.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://knowstartup.com/news/maya-research-raises-1-9-million-voice-ai-south-park-commons/"
"China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17 monitor · 中国 AI 社交出海","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","high","known","2026-06-17T09:06:42.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/"
"KLIPY raises $3.8M from investors and joins Google AI Futures Fund to build the expression layer for GIFs, memes, stickers, clips, and AI media","2026-06-17 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-17T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://www.prnewswire.com/news-releases/klipy-raises-3-8m-from-investors-and-joins-google-ai-futures-fund-to-build-the-expression-layer-for-gifs-memes-stickers-clips-and-ai-media-302802594.html"
"MojiMoshi Embeds AI Agents Inside Telegram and Line, No App Needed - AINews","2026-06-20 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-20T02:32:06.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://ainews.cool/article/20260620-mojimoshi-ai-agent-telegram-line"
"OpenAI Launches ChatGPT Advertising Business in Japan Amid Rising AI Costs | AJU PRESS","2026-06-19 monitor · 投放 / 付费获客证据","投放证据候选","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-19T06:24:00.000Z","该信号来自投放/付费获客 monitor lane，先进入 paid-acquisition evidence audit 的补证路径；只有出现广告素材库、投放平台、CAC/ROAS、买量或投放后下载变化等明确证据时，才把对应产品从方向性渠道升级为明确投放证据。","投放 / 付费获客证据: https://www.ajupress.com/view/20260619152470142"
"Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch","2026-06-18 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-18T12:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://techcrunch.com/2026/06/18/pixis-new-ios-app-turns-text-messages-into-interactive-ar-experiences/"
"Character.AI is adding new tools for chatbot creators. | The Verge","2026-06-17 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-17T16:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://www.theverge.com/ai-artificial-intelligence/951461/character-ai-is-adding-new-tools-for-chatbot-creators"
"CloudX Takes A Swing At Black‑Box Mobile UA With Agentic Buying Tools | AdExchanger","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T13:00:22.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.adexchanger.com/mobile/cloudx-takes-a-swing-at-black-box-mobile-ua-with-agentic-buying/"
"Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T10:25:34.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/"
"China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T09:06:42.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/"
"Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.topgmnews.com/2026/06/17/happn-expands-its-presence-in-london-with-first-outdoor-advertising-campaign/"
"Sensor Tower State of AI 2026 Report: Global Time Spent on Generative AI Apps Projected to More Than Double Year-Over-Year","2026-06-16 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-16T10:30:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.prnewswire.com/news-releases/sensor-tower-state-of-ai-2026-report-global-time-spent-on-generative-ai-apps-projected-to-more-than-double-year-over-year-302800844.html"
