"名称","覆盖状态","线下模式","进入主表","融资/新闻事件数","monitor 近窗信号数","证据强度","来源层","所有结论","原因","下一步校验","融资/新闻证据","monitor 证据","原始证据"
"Breeze","core-boundary","dating / matchmaking","yes","1","1","strong","competitive matrix | funding/news timeline | supplemental funding/news | monitor recent","已入 IRL 主表 | 已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号 | 已覆盖/继续观察","Exa monitor 新增提醒返回 The Independent：Breeze 2025 进入伦敦，强调 date nights without endless swiping。 / UK launch / anti-swipe IRL dating news / IRL dating US launch / 如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2026.05 Breeze UK launch / anti-swipe IRL dating news: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html","2026-05-28 monitor · 线下真人社交 Breeze Launches IRL Group Dates Across London - Global Dating Insights: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/","UK launch / anti-swipe IRL dating news: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html | Taking Online Dates Offline: Dating App Breeze Launches in the U.S., Starting with NYC: https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC | 线下真人社交: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/"
"Can We Swipe Our Way to Friendship? | KQED","monitor-known","local activity / nearby","yes","1","1","strong","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2024.12 Friend $5.4M additional raise / real-world AI friend: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","2026-06-04 monitor · 线下真人社交 Can We Swipe Our Way to Friendship? | KQED: https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship","线下真人社交: https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship"
"Partiful","core-boundary","events / party","yes","1","2","strong","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa boundary news 返回 Partiful 2024 年 20M Series A；CNBC/NBC 结果提到 2025 年新增 200 万用户。 / $20M Series A","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2024.11 Partiful $20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections","2026-06-03 monitor · Residual IRL watchlist Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans | 2026-06-02 monitor · Residual IRL watchlist Partiful is turning party invites into a payments business - Startup Fortune: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/","$20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections | NBC/CNBC: https://www.nbcchicago.com/news/business/money-report/meet-partiful-the-gen-z-party-planning-staple-thats-taking-on-apple/3726123/"
"Partiful is turning party invites into a payments business - Startup Fortune","monitor-known","events / party","yes","1","2","strong","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2024.11 Partiful $20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections","2026-06-03 monitor · Residual IRL watchlist Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans | 2026-06-02 monitor · Residual IRL watchlist Partiful is turning party invites into a payments business - Startup Fortune: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/","Residual IRL watchlist: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/"
"Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar","monitor-known","events / party","yes","1","6","strong","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2024.11 Partiful $20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections","2026-05-28 monitor · 线下真人社交 Breeze Launches IRL Group Dates Across London - Global Dating Insights: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/ | 2026-05-27 monitor · 线下真人社交 Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/ | 2026-06-03 monitor · Residual IRL watchlist Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans | 2026-06-02 monitor · Residual IRL watchlist Partiful is turning party invites into a payments business - Startup Fortune: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/ | 2026-05-28 monitor · Residual IRL watchlist AppLovin Launches Its Own TikTok Rival: https://wersm.com/applovin-launches-its-own-tiktok-rival/ | 2026-05-23 monitor · Residual IRL watchlist AppLovin launches Gist, a social app that could change everything: https://ppc.land/applovin-launches-gist-a-social-app-that-could-change-everything/","Residual IRL watchlist: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans"
"WeMeet by WeRoad","core","group travel","yes","1","2","strong","competitive matrix","已入 IRL 主表","Exa official/social pass 返回 WeRoad 的 WeMeet 官网和 Google Play：local events to connect with new people in real life，帮助用户参加本地活动并认识新人。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2026.05 WeRoad $58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","2026-05-27 monitor · 线下真人社交 WeRoad raises $58M and expands to the US with Airbnb | WeRoad: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | 2026-05-27 monitor · 线下真人社交 Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/","官网: https://www.weroad.com/wemeet | Google Play: https://play.google.com/store/apps/details?id=com.weroad.wemeet&hl=en_US"
"WeRoad","core-boundary","group travel","yes","1","2","strong","competitive matrix | funding/news timeline | monitor recent","已入 IRL 主表 | 已入近两年 IRL/边界事件 | 已覆盖/继续观察","Exa monitor 新增提醒返回 WeRoad/Pulse2：2026-05 完成 5800 万美元 Series C，并与 Airbnb 相关资本一起扩张美国。 / $58M Series C / 如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2026.05 WeRoad $58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","2026-05-27 monitor · 线下真人社交 WeRoad raises $58M and expands to the US with Airbnb | WeRoad: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | 2026-05-27 monitor · 线下真人社交 Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/","线下真人社交: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | Pulse2: https://pulse2.com/weroad-58-million-series-c-raised-to-expand-group-travel-platform-into-the-united-states/ | 线下真人社交: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/"
"222","core","dinner / restaurant","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 SV Post：10.1M Series A；people 查询返回 CTO Arman Roshannai、26 人团队、+44.5% YoY。 / $10.1M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2025.12 222 $10.1M Series A: https://svpost.com/articles/222-10m-series-a/","","$10.1M Series A: https://svpost.com/articles/222-10m-series-a/ | Startuply: https://startuply.vc/startup/222-nn5rhh"
"Meet5","core-boundary","local activity / nearby","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa news 返回 Business Insider Africa：德国 IRL social app 约 900 万美元 Series A，面向 Gen X / baby boomers 的线下群组活动并扩张美国。 / about $9M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2025 Meet5 about $9M Series A: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0","","about $9M Series A: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
"Pie","core","local activity / nearby","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 TechCrunch 与 Fox Business：AI matching 帮用户 make real-world friends。 / $11.5M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2025.03 Pie $11.5M Series A: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/","","$11.5M Series A: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/ | Fox Business: https://www.foxbusiness.com/lifestyle/new-social-media-app-uses-ai-help-users-make-real-world-friends"
