"名称","来源","处理建议","发现日期","原因","Exa 摘要","证据"
"Lingbe","Exa discovery · language_exchange_long_tail","已入主表","2026-04-29T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Lingbe is a Technology, Information and Internet company. Lingbe.com is a language practice platform that allows users to practice with native speakers anytime, anywhere. Users can practice with native speakers and earn rewards and special features. The platform allows users to connect with other learners and make new friends from around the world. Lingbe em","Lingbe: https://lingbe.com/"
"Tandem","Exa discovery · language_exchange_long_tail","已入主表","2026-05-03T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Tandem is a E-Learning Providers company. Tandem is a language learning app that allows users to connect with native speakers and practice their target languages. Tandem employs 41 people (+3.9% YoY, +2 people), founded in 2015. Headquartered in Berlin, Berlin, Germany, operates in 15 countries (including Spain, Indonesia, United Kingdom, Canada, and France)","Tandem: https://tandem.net/"
"HelloTalk","Exa discovery · language_exchange_long_tail","已入主表","2026-04-30T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","HelloTalk, also abbreviated as HT, is a language exchange app and website released in 2013. It is monetized using the freemium model. It was created by Chinese developer Zackery Ngai. As of December 2025, the platform supports learning and communication in more than 260 languages, including English, Japanese, Spanish, French, Chinese, Korean, and German. The","HelloTalk: https://hellotalk.com/"
"Conversation Exchange","Exa discovery · language_exchange_long_tail","已入主表","2026-04-23T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Conversation Exchange is a E-learning company. Conversation Exchange is a language learning platform that offers three types of language exchange: face to face conversation, correspondence, text and voice chat. Conversation Exchange employs 2 people, founded in 2005. Headquartered in San Antonio, Texas, United States, with presence in Italy and Brazil. [...]","Conversation Exchange: https://conversationexchange.com/"
"Lingopie","Exa discovery · language_exchange_long_tail","学习工具边界","2026-05-03T00:00:00.000Z","结果更偏内容学习或课程工具，真人社交/语伴证据弱；保留为边界样本，不直接升级。","Lingopie is a E-Learning Providers company. Lingopie is a company that provides language learning services for students. They offer a wide range of TV shows with subtitles, allowing users to learn and access various language skills. They also provide live group lessons and live group lessons to improve language skills. Lingopie aims to help students improve ","Lingopie: https://lingopie.com/"
"Fluently","Exa discovery · language_exchange_long_tail","已入主表","2026-04-22T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Fluently is a E-Learning Providers company. Fluently is a company that offers live language exchange services for individuals to master any language. They provide free membership with early access and have a team of native speakers in their own dialects. The company aims to help individuals speak naturally and comfortably by learning from native speakers in ","Fluently: https://fluently.chat/"
"SewaYou","Exa discovery · language_exchange_long_tail","已入主表","2026-05-02T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","SewaYou is a Technology, Information and Internet company. SewaYou is a language exchange platform that allows users to find and meet native speakers on a map for in-person practice. SewaYou employs 2 people, founded in 2017. Headquartered in Japan. [...] SewaYou - a social network app fostering new connections with people nearby and around the world 🌏 [...","SewaYou: https://sewayou.com/"
"SpeakyParrot","Exa discovery · language_exchange_long_tail","已入主表","2026-04-25T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","SpeakyParrot is a E-Learning Providers company. SpeakyParrot employs 2 people, founded in 2024. Headquartered in Petersburg, Florida, United States. [...] Learn languages flexibly, interactively, and effectively, anytime, anywhere. Our e-learning platform offers practical exercises, motivating challenges, and the option to book live sessions with native spea","SpeakyParrot: https://speakyparrot.com/"
"LangPal","Exa discovery · language_exchange_long_tail","已入主表","2026-05-01T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","LangPal is a E-Learning Providers company. LangPal employs 13 people, founded in 2025. Headquartered in Seattle, Washington, United States, with presence in Canada. [...] LangPal is an AI-powered language learning platform designed to help users achieve real-world fluency through immersive, conversation-based practice. Unlike traditional language learning ap","LangPal: https://lang-pal.com/"
"Linguado","Exa discovery · language_exchange_long_tail","已入主表","2026-04-30T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Linguado is a E-Learning Providers company. Linguado is a free mobile app that allows users to instantly link with native speakers of the language they desire, by proximity or worldwide. They offer language learning, accent reduction, travel, cultural exchange, and business solutions. Linguado represents over 250 countries, nationalities, and languages, and ","Linguado: https://linguado.com/"
